Time1,Angle1,Time (s) Run #2,Angle (°) Run #2,Time (s) Run #3,Angle (°) Run #3,Time (s) Run #4,Angle (°) Run #4,Time5,Angle5,Time (s) Run #6,Angle (°) Run #6,Time (s) Run #7,Angle (°) Run #7,Time (s) Run #8,Angle (°) Run #8
4.59,12.78,,,4.59,2.7,4.59,-2.49E-17,4.59,1.8,,,4.59,3.42,4.59,2.52
4.08,11.61,4.08,1.8,4.08,2.61,4.08,-2.49E-17,4.08,0.9,,,4.08,-1.08,4.08,38.88
4.6,10.89,,,4.6,2.34,4.6,-2.49E-17,4.6,1.53,,,4.6,3.15,4.6,2.79
4.07,9.54,4.07,1.8,4.07,2.34,4.07,-2.49E-17,4.07,0.54,,,4.07,-1.17,4.07,39.51
4.61,9,,,4.61,1.98,4.61,-2.49E-17,4.61,1.26,,,4.61,2.97,4.61,3.06
4.06,8.19,4.06,1.71,4.06,2.16,4.06,-2.49E-17,4.06,0.09,,,4.06,-0.9,4.06,40.05
4.62,7.11,,,4.62,1.62,4.62,-2.49E-17,4.62,1.08,,,4.62,2.79,4.62,3.24
4.05,6.03,4.05,1.71,4.05,1.89,4.05,-2.49E-17,4.05,-0.36,,,4.05,-0.45,4.05,40.5
4.63,5.13,,,4.63,1.26,4.63,-2.49E-17,4.63,1.17,,,4.63,2.61,4.63,3.51
4.04,3.24,4.04,1.62,4.04,1.62,4.04,-2.49E-17,4.04,-0.72,,,4.04,0.18,4.04,40.86
5.04,3.24,,,5.04,3.6,5.04,0.09,,,,,,,5.04,2.25
5.05,3.24,,,5.05,3.6,5.05,0.09,,,,,,,5.05,1.98
5.06,3.24,,,5.06,3.6,5.06,0.09,,,,,,,5.06,1.71
5.07,3.24,,,5.07,3.6,5.07,0.09,,,,,,,5.07,1.44
5.08,3.24,,,5.08,3.6,5.08,0.09,,,,,,,5.08,1.17
5.09,3.24,,,5.09,3.6,5.09,0.09,,,,,,,5.09,0.81
5.1,3.24,,,5.1,3.6,5.1,0.09,,,,,,,5.1,0.54
5.11,3.24,,,5.11,3.6,5.11,0.09,,,,,,,5.11,0.27
4.64,3.15,,,4.64,0.9,4.64,-2.49E-17,4.64,1.17,,,4.64,2.43,4.64,3.69
5.02,3.15,,,5.02,3.51,5.02,0.09,,,,,,,5.02,2.79
5.03,3.15,,,5.03,3.6,5.03,0.09,,,,,,,5.03,2.52
5.12,3.15,,,5.12,3.6,5.12,0.09,,,,,,,5.12,5.07E-15
5.01,3.06,,,5.01,3.51,5.01,0.09,,,,,,,5.01,2.97
5.13,3.06,,,5.13,3.51,5.13,0.09,,,,,,,5.13,-0.27
5,2.97,,,5,3.42,5,0.09,,,,,,,5,3.24
5.14,2.97,,,5.14,3.51,5.14,0.09,,,,,,,5.14,-0.54
4.99,2.88,,,4.99,3.33,4.99,0.09,,,,,,,4.99,3.51
5.15,2.88,,,5.15,3.42,5.15,0.09,,,,,,,5.15,-0.9
4.98,2.79,,,4.98,3.24,4.98,0.09,,,,,,,4.98,3.69
5.16,2.79,,,5.16,3.33,5.16,0.09,,,,,,,5.16,-1.17
4.97,2.7,,,4.97,3.15,4.97,0.09,,,,,,,4.97,3.96
5.17,2.7,,,5.17,3.24,5.17,0.09,,,,,,,5.17,-1.26
4.96,2.61,,,4.96,3.15,4.96,0.09,,,,,,,4.96,4.14
5.18,2.61,,,5.18,3.15,5.18,0.09,,,,,,,5.18,-1.17
4.95,2.43,,,4.95,3.06,4.95,0.09,,,,,,,4.95,4.32
5.19,2.43,,,5.19,3.06,5.19,0.09,,,,,,,5.19,-0.99
4.94,2.34,,,4.94,2.97,4.94,0.09,,,,,4.94,0.63,4.94,4.5
5.2,2.34,,,5.2,2.97,5.2,0.09,,,,,,,5.2,-0.9
4.93,2.16,,,4.93,2.79,4.93,0.09,,,,,4.93,0.54,4.93,4.68
5.21,2.16,,,5.21,2.88,5.21,0.09,,,,,,,5.21,-0.72
4.92,2.07,,,4.92,2.7,4.92,0.09,,,,,4.92,0.45,4.92,4.86
5.22,2.07,,,5.22,2.79,5.22,0.09,,,,,,,5.22,-0.54
5.23,1.89,,,5.23,2.61,5.23,0.09,,,,,,,5.23,-0.36
4.91,1.8,,,4.91,2.61,4.91,0.09,,,,,4.91,0.36,4.91,5.04
4.9,1.71,,,4.9,2.43,4.9,-2.49E-17,,,,,4.9,0.27,4.9,5.13
5.24,1.71,,,5.24,2.52,5.24,0.09,,,,,,,5.24,-0.27
4.89,1.53,,,4.89,2.34,4.89,-2.49E-17,,,,,4.89,0.18,4.89,5.31
5.81,1.53,,,,,5.81,33.75,,,,,,,,
5.82,1.53,,,,,5.82,32.85,,,,,,,,
5.83,1.53,,,,,5.83,31.95,,,,,,,,
5.84,1.53,,,,,5.84,30.96,,,,,,,,
5.85,1.53,,,,,5.85,29.88,,,,,,,,
5.86,1.53,,,,,5.86,28.71,,,,,,,,
5.87,1.53,,,,,5.87,27.54,,,,,,,,
5.88,1.53,,,,,5.88,26.37,,,,,,,,
5.25,1.44,,,5.25,2.34,5.25,-2.49E-17,,,,,,,5.25,-0.09
5.78,1.44,,,,,5.78,35.82,,,,,,,,
5.79,1.44,,,,,5.79,35.19,,,,,,,,
5.8,1.44,,,,,5.8,34.56,,,,,,,,
5.89,1.44,,,,,5.89,25.11,,,,,,,,
5.9,1.44,,,,,5.9,23.76,,,,,,,,
4.88,1.35,,,4.88,2.16,4.88,-2.49E-17,,,,,4.88,0.09,4.88,5.4
5.26,1.35,,,5.26,2.25,5.26,-2.49E-17,,,,,,,5.26,0.09
5.76,1.35,,,,,5.76,36.81,,,,,,,,
5.77,1.35,,,,,5.77,36.36,,,,,,,,
5.91,1.35,,,,,5.91,22.41,,,,,,,,
5.92,1.35,,,,,5.92,20.88,,,,,,,,
5.75,1.26,,,,,5.75,37.08,,,,,,,,
5.93,1.26,,,,,5.93,19.35,,,,,,,,
4.65,1.17,,,4.65,0.54,4.65,-2.49E-17,4.65,1.08,,,4.65,2.25,4.65,3.96
4.87,1.17,,,4.87,2.07,4.87,-2.49E-17,,,,,4.87,-0.09,4.87,5.49
5.27,1.17,,,5.27,2.07,5.27,-2.49E-17,,,,,,,5.27,0.18
5.73,1.17,,,,,5.73,37.62,,,,,,,,
5.74,1.17,,,,,5.74,37.44,,,,,,,,
5.94,1.17,,,,,5.94,17.73,,,,,,,,
5.72,1.08,,,,,5.72,37.89,,,,,,,,
5.95,1.08,,,,,5.95,16.11,,,,,,,,
4.86,0.99,,,4.86,1.89,4.86,-2.49E-17,,,,,4.86,-0.18,4.86,5.49
5.28,0.99,,,5.28,1.98,5.28,-2.49E-17,,,,,,,5.28,0.36
5.71,0.99,,,,,5.71,37.98,,,,,,,,
5.96,0.99,,,,,5.96,14.49,,,,,,,,
5.97,0.99,,,,,5.97,12.69,,,,,,,,
5.7,0.9,,,,,5.7,37.98,,,,,,,,
5.98,0.9,,,,,5.98,10.98,,,,,,,,
5.69,0.81,,,,,5.69,37.89,,,,,,,,
4.85,0.72,,,4.85,1.71,4.85,-2.49E-17,,,,,4.85,-0.27,4.85,5.58
5.29,0.72,,,5.29,1.8,5.29,-2.49E-17,,,,,,,5.29,0.54
5.68,0.72,,,,,5.68,37.71,,,,,,,,
5.99,0.72,,,,,5.99,9.18,,,,,,,,
4.84,0.63,,,4.84,1.62,4.84,-2.49E-17,,,,,4.84,-0.36,4.84,5.67
5.67,0.63,,,,,5.67,37.35,,,,,,,,
6,0.63,,,,,6,7.38,,,,,,,,
4.03,0.54,4.03,1.62,4.03,1.26,4.03,-2.49E-17,4.03,-1.08,,,4.03,0.81,4.03,41.13
5.3,0.54,,,5.3,1.62,5.3,-2.49E-17,,,,,,,5.3,0.63
6.01,0.54,,,,,6.01,5.58,,,,,,,,
5.66,0.45,,,,,5.66,36.99,,,,,,,,
6.02,0.45,,,,,6.02,3.69,,,,,,,,
4.83,0.36,,,4.83,1.44,4.83,-2.49E-17,,,,,4.83,-0.54,4.83,5.67
5.31,0.36,,,5.31,1.44,5.31,-2.49E-17,,,,,,,5.31,0.81
5.65,0.36,,,,,5.65,36.45,,,,,,,,
5.64,0.27,,,,,5.64,35.82,,,,,,,,
