Wavelength,Intensity
 282.406,     -5.89 
 282.782,      7.57 
 283.158,     36.75 
 283.534,    -44.05 
 283.910,     41.24 
 284.287,     36.75 
 284.663,     25.53 
 285.039,     81.64 
 285.415,     16.55 
 285.791,     63.68 
 286.167,     43.48 
 286.542,    -23.85 
 286.918,     74.91 
 287.294,     56.95 
 287.670,    101.84 
 288.046,     47.97 
 288.421,      3.09 
 288.797,     23.29 
 289.173,     39.00 
 289.548,    146.72 
 289.924,     97.35 
 290.299,     74.91 
 290.675,    110.81 
 291.050,    115.30 
 291.426,     79.39 
 291.801,     70.42 
 292.177,     90.62 
 292.552,     99.59 
 292.927,     -8.14 
 293.302,    -10.38 
 293.678,     56.95 
 294.053,     59.19 
 294.428,     90.62 
 294.803,     36.75 
 295.178,     65.93 
 295.553,      5.33 
 295.928,     61.44 
 296.303,     25.53 
 296.678,    133.26 
 297.053,     25.53 
 297.427,    160.19 
 297.802,     50.22 
 298.177,     12.06 
 298.552,     70.42 
 298.926,     54.71 
 299.301,     79.39 
 299.676,     45.73 
 300.050,     56.95 
 300.425,      0.84 
 300.799,     30.02 
 301.174,     70.42 
 301.548,     59.19 
 301.922,     43.48 
 302.297,     68.17 
 302.671,     79.39 
 303.045,     92.86 
 303.420,     72.66 
 303.794,     74.91 
 304.168,    139.99 
 304.542,    104.08 
 304.916,     79.39 
 305.290,     97.35 
 305.664,    101.84 
 306.038,    148.97 
 306.412,    142.24 
 306.786,    160.19 
 307.160,    261.19 
 307.534,    469.91 
 307.907,    759.43 
 308.281,    930.00 
 308.655,    921.02 
 309.028,    885.12 
 309.402,   1116.28 
 309.776,   1228.50 
 310.149,   1345.21 
 310.523,   1491.09 
 310.896,   1264.41 
 311.270,   1179.13 
 311.643,    963.67 
 312.016,    880.63 
 312.390,    889.60 
 312.763,    835.74 
 313.136,    840.23 
 313.509,    840.23 
 313.883,    898.58 
 314.256,    781.88 
 314.629,    788.61 
 315.002,    797.59 
 315.375,    860.43 
 315.748,    748.21 
 316.121,    790.85 
 316.494,    723.52 
 316.867,    658.44 
 317.240,    734.74 
 317.612,    613.55 
 317.985,    532.75 
 318.358,    566.42 
 318.730,    481.13 
 319.103,    454.20 
 319.476,    431.76 
 319.848,    447.47 
 320.221,    373.40 
 320.593,    438.49 
 320.966,    301.58 
 321.338,    306.07 
 321.711,    341.98 
 322.083,    359.94 
 322.455,    357.69 
 322.828,    409.31 
 323.200,    294.85 
 323.572,    328.52 
 323.944,    247.72 
 324.316,    333.01 
 324.688,    249.96 
 325.060,    310.56 
 325.432,    274.65 
 325.804,    223.03 
 326.176,    229.77 
 326.548,    216.30 
 326.920,    223.03 
 327.292,    189.37 
 327.664,    173.66 
 328.035,    187.12 
 328.407,    196.10 
 328.779,    223.03 
 329.150,    223.03 
 329.522,    207.32 
 329.893,    205.08 
 330.265,    162.43 
 330.636,    187.12 
 331.008,    162.43 
 331.379,     63.68 
 331.750,    198.34 
 332.122,    216.30 
 332.493,    166.92 
 332.864,    196.10 
 333.236,    187.12 
 333.607,    182.63 
 333.978,    209.57 
 334.349,    146.72 
 334.720,     83.88 
 335.091,    166.92 
 335.462,    144.48 
 335.833,    216.30 
 336.204,    211.81 
 336.575,    245.48 
 336.945,    205.08 
 337.316,    279.14 
 337.687,    157.95 
 338.058,    227.52 
 338.428,    223.03 
 338.799,    238.74 
 339.169,    202.83 
 339.540,    171.41 
 339.911,    182.63 
 340.281,    238.74 
 340.651,    191.61 
 341.022,    146.72 
 341.392,    144.48 
 341.762,    182.63 
 342.133,    229.77 
 342.503,    175.90 
 342.873,    153.46 
 343.243,    191.61 
 343.613,    187.12 
 343.984,    205.08 
 344.354,    191.61 
 344.724,    227.52 
 345.094,    193.86 
 345.464,    166.92 
 345.833,    252.21 
 346.203,    202.83 
 346.573,    182.63 
 346.943,    162.43 
 347.313,    207.32 
 347.682,    229.77 
 348.052,    198.34 
 348.422,    227.52 
 348.791,    198.34 
 349.161,    211.81 
 349.530,    178.15 
 349.900,    146.72 
 350.269,    189.37 
 350.638,    178.15 
 351.008,    135.50 
 351.377,    252.21 
 351.746,    249.96 
 352.116,    243.23 
 352.485,    200.59 
 352.854,    160.19 
 353.223,    198.34 
 353.592,    202.83 
 353.961,    155.70 
 354.330,    216.30 
 354.699,    245.48 
 355.068,    180.39 
 355.437,    299.34 
 355.806,    142.24 
 356.175,    164.68 
 356.543,    162.43 
 356.912,    247.72 
 357.281,    200.59 
 357.650,    245.48 
 358.018,    223.03 
 358.387,    184.88 
 358.755,    142.24 
 359.124,    218.54 
 359.492,    243.23 
 359.861,    207.32 
 360.229,    191.61 
 360.597,    308.32 
 360.966,    216.30 
 361.334,    193.86 
 361.702,    234.25 
 362.070,    187.12 
 362.438,    258.94 
 362.807,    175.90 
 363.175,    270.16 
 363.543,    205.08 
 363.911,    198.34 
 364.279,    234.25 
 364.646,    196.10 
 365.014,    189.37 
 365.382,    151.21 
 365.750,    153.46 
 366.118,    245.48 
 366.485,    171.41 
 366.853,    189.37 
 367.221,    223.03 
 367.588,    160.19 
 367.956,    249.96 
 368.323,    187.12 
 368.691,    175.90 
 369.058,    236.50 
 369.426,    225.28 
 369.793,    209.57 
 370.160,    178.15 
 370.528,    160.19 
 370.895,    218.54 
 371.262,    184.88 
 371.629,    153.46 
 371.996,    122.04 
 372.363,    182.63 
 372.730,    157.95 
 373.097,    171.41 
 373.464,    157.95 
 373.831,    196.10 
 374.198,    225.28 
 374.565,    135.50 
 374.932,    205.08 
 375.299,    187.12 
 375.665,    189.37 
 376.032,    175.90 
 376.399,    160.19 
 376.765,    191.61 
 377.132,    151.21 
 377.498,    243.23 
 377.865,    243.23 
 378.231,    209.57 
 378.598,    238.74 
 378.964,    189.37 
 379.331,    243.23 
 379.697,    198.34 
 380.063,    151.21 
 380.429,    187.12 
 380.795,    189.37 
 381.162,    124.28 
 381.528,    198.34 
 381.894,    249.96 
 382.260,    216.30 
 382.626,    236.50 
 382.992,    160.19 
 383.358,    166.92 
 383.723,    209.57 
 384.089,    171.41 
 384.455,    184.88 
 384.821,    162.43 
 385.186,    184.88 
 385.552,    249.96 
 385.918,    214.05 
 386.283,    236.50 
 386.649,    198.34 
 387.014,    234.25 
 387.380,    223.03 
 387.745,    189.37 
 388.111,    265.67 
 388.476,    223.03 
 388.841,    169.17 
 389.206,    135.50 
 389.572,    205.08 
 389.937,    196.10 
 390.302,    191.61 
 390.667,    223.03 
 391.032,    223.03 
 391.397,    155.70 
 391.762,    207.32 
 392.127,    232.01 
 392.492,    160.19 
 392.857,    290.36 
 393.222,    166.92 
 393.587,    133.26 
 393.951,    137.75 
 394.316,    106.33 
 394.681,    124.28 
 395.045,    166.92 
 395.410,    187.12 
 395.774,    169.17 
 396.139,    133.26 
 396.503,    160.19 
 396.868,    223.03 
 397.232,    189.37 
 397.596,    205.08 
 397.961,    189.37 
 398.325,    220.79 
 398.689,    191.61 
 399.053,    227.52 
 399.418,    128.77 
 399.782,    157.95 
 400.146,    180.39 
 400.510,    187.12 
 400.874,    124.28 
 401.238,    234.25 
 401.602,    137.75 
 401.965,    142.24 
 402.329,    211.81 
 402.693,    128.77 
 403.057,    171.41 
 403.420,    169.17 
 403.784,    169.17 
 404.148,    178.15 
 404.511,    198.34 
 404.875,    182.63 
 405.238,    137.75 
 405.602,    202.83 
 405.965,    182.63 
 406.329,    155.70 
 406.692,    198.34 
 407.055,    160.19 
 407.418,    187.12 
 407.782,    189.37 
 408.145,    285.87 
 408.508,    153.46 
 408.871,    196.10 
 409.234,    193.86 
 409.597,    240.99 
 409.960,    229.77 
 410.323,    166.92 
 410.686,    216.30 
 411.049,    427.27 
 411.412,    267.92 
 411.774,    294.85 
 412.137,    232.01 
 412.500,     79.39 
 412.862,     81.64 
 413.225,     92.86 
 413.588,     83.88 
 413.950,    153.46 
 414.313,    139.99 
 414.675,     97.35 
 415.037,    146.72 
 415.400,    139.99 
 415.762,     90.62 
 416.124,    151.21 
 416.487,    162.43 
 416.849,     92.86 
 417.211,    236.50 
 417.573,     99.59 
 417.935,    155.70 
 418.297,    202.83 
 418.659,    171.41 
 419.021,    128.77 
 419.383,    162.43 
