Wavelength,Intensity
 282.029,     -6.59 
 282.406,      4.63 
 282.782,    -58.21 
 283.158,    -22.30 
 283.534,     13.61 
 283.910,     -6.59 
 284.287,     38.29 
 284.663,     69.72 
 285.039,     18.10 
 285.415,     -6.59 
 285.791,     74.20 
 286.167,    105.62 
 286.542,      4.63 
 286.918,     13.61 
 287.294,     31.56 
 287.670,     47.27 
 288.046,     67.47 
 288.421,     71.96 
 288.797,     56.25 
 289.173,     78.69 
 289.548,    -15.57 
 289.924,     18.10 
 290.299,    110.11 
 290.675,     98.89 
 291.050,     62.98 
 291.426,     85.43 
 291.801,     85.43 
 292.177,     18.10 
 292.552,     29.32 
 292.927,     45.03 
 293.302,    134.80 
 293.678,     87.67 
 294.053,    107.87 
 294.428,     98.89 
 294.803,    141.53 
 295.178,     87.67 
 295.553,     60.74 
 295.928,     98.89 
 296.303,     76.45 
 296.678,     31.56 
 297.053,     62.98 
 297.427,    103.38 
 297.802,    141.53 
 298.177,     80.94 
 298.552,     92.16 
 298.926,     98.89 
 299.301,     62.98 
 299.676,     67.47 
 300.050,    130.31 
 300.425,     67.47 
 300.799,     51.76 
 301.174,     42.78 
 301.548,     54.00 
 301.922,     54.00 
 302.297,     58.49 
 302.671,     33.81 
 303.045,     45.03 
 303.420,     89.91 
 303.794,     45.03 
 304.168,    157.24 
 304.542,     69.72 
 304.916,     98.89 
 305.290,     20.34 
 305.664,     98.89 
 306.038,     76.45 
 306.412,    107.87 
 306.786,    123.58 
 307.160,    238.04 
 307.534,    370.46 
 307.907,    570.20 
 308.281,    826.06 
 308.655,   1046.01 
 309.028,   1214.33 
 309.402,   1239.02 
 309.776,   1292.89 
 310.149,   1254.73 
 310.523,   1203.11 
 310.896,    933.79 
 311.270,    846.26 
 311.643,    817.08 
 312.016,    924.81 
 312.390,    866.46 
 312.763,    927.06 
 313.136,    897.88 
 313.509,    868.70 
 313.883,    911.35 
 314.256,    888.90 
 314.629,    812.59 
 315.002,    879.93 
 315.375,    776.69 
 315.748,    630.80 
 316.121,    693.64 
 316.494,    664.47 
 316.867,    590.40 
 317.240,    626.31 
 317.612,    583.67 
 317.985,    511.85 
 318.358,    567.96 
 318.730,    487.16 
 319.103,    457.99 
 319.476,    433.30 
 319.848,    386.17 
 320.221,    336.79 
 320.593,    289.66 
 320.966,    305.37 
 321.338,    309.86 
 321.711,    285.17 
 322.083,    235.80 
 322.455,    264.97 
 322.828,    206.62 
 323.200,    181.93 
 323.572,    325.57 
 323.944,    264.97 
 324.316,    215.60 
 324.688,    247.02 
 325.060,    233.55 
 325.432,    150.51 
 325.804,    240.29 
 326.176,    143.78 
 326.548,    190.91 
 326.920,    116.85 
 327.292,    107.87 
 327.664,    166.22 
 328.035,    175.20 
 328.407,    172.96 
 328.779,    152.76 
 329.150,    123.58 
 329.522,    114.60 
 329.893,    224.58 
 330.265,     80.94 
 330.636,    137.05 
 331.008,    139.29 
 331.379,    134.80 
 331.750,     85.43 
 332.122,    134.80 
 332.493,    139.29 
 332.864,     94.40 
 333.236,    226.82 
 333.607,    181.93 
 333.978,    155.00 
 334.349,    195.40 
 334.720,    134.80 
 335.091,     98.89 
 335.462,     71.96 
 335.833,    170.71 
 336.204,    143.78 
 336.575,    247.02 
 336.945,    114.60 
 337.316,    175.20 
 337.687,    179.69 
 338.058,    202.13 
 338.428,    141.53 
 338.799,     94.40 
 339.169,    258.24 
 339.540,    224.58 
 339.911,    244.77 
 340.281,    172.96 
 340.651,    166.22 
 341.022,    244.77 
 341.392,    204.38 
 341.762,    244.77 
 342.133,    195.40 
 342.503,    195.40 
 342.873,    222.33 
 343.243,    220.09 
 343.613,    163.98 
 343.984,    193.15 
 344.354,    186.42 
 344.724,    229.06 
 345.094,    105.62 
 345.464,    121.34 
 345.833,    166.22 
 346.203,    172.96 
 346.573,    152.76 
 346.943,    112.36 
 347.313,    199.89 
 347.682,    134.80 
 348.052,    134.80 
 348.422,    179.69 
 348.791,    143.78 
 349.161,    143.78 
 349.530,    125.82 
 349.900,    197.64 
 350.269,    123.58 
 350.638,    204.38 
 351.008,    177.44 
 351.377,    175.20 
 351.746,    163.98 
 352.116,    170.71 
 352.485,    199.89 
 352.854,    141.53 
 353.223,    163.98 
 353.592,    137.05 
 353.961,    179.69 
 354.330,    134.80 
 354.699,    211.11 
 355.068,    206.62 
 355.437,    269.46 
 355.806,    146.02 
 356.175,    157.24 
 356.543,    199.89 
 356.912,    195.40 
 357.281,    134.80 
 357.650,    146.02 
 358.018,    208.86 
 358.387,    139.29 
 358.755,    208.86 
 359.124,    101.14 
 359.492,    116.85 
 359.861,    184.18 
 360.229,    188.67 
 360.597,    157.24 
 360.966,    125.82 
 361.334,    110.11 
 361.702,    168.47 
 362.070,    139.29 
 362.438,    170.71 
