Wavelength,Intensity
 282.406,    -75.89 
 282.782,    -31.00 
 283.158,    -48.95 
 283.534,     18.38 
 283.910,      2.67 
 284.287,    -48.95 
 284.663,      0.42 
 285.039,      0.42 
 285.415,    -17.53 
 285.791,   -107.31 
 286.167,    -66.91 
 286.542,     20.62 
 286.918,     18.38 
 287.294,      4.91 
 287.670,     38.57 
 288.046,    -31.00 
 288.421,     49.80 
 288.797,     40.82 
 289.173,     76.73 
 289.548,     34.09 
 289.924,     92.44 
 290.299,     49.80 
 290.675,     36.33 
 291.050,     31.84 
 291.426,     16.13 
 291.801,    -15.29 
 292.177,     -1.82 
 292.552,     -6.31 
 292.927,     36.33 
 293.302,    -44.47 
 293.678,     27.35 
 294.053,    -26.51 
 294.428,    -66.91 
 294.803,     34.09 
 295.178,     29.60 
 295.553,    -35.49 
 295.928,     54.29 
 296.303,      4.91 
 296.678,     -4.07 
 297.053,    -37.73 
 297.427,      0.42 
 297.802,    -31.00 
 298.177,   -120.77 
 298.552,    -39.98 
 298.926,     52.04 
 299.301,     40.82 
 299.676,    -57.93 
 300.050,     25.11 
 300.425,    -48.95 
 300.799,    -39.98 
 301.174,    -66.91 
 301.548,    -71.40 
 301.922,      2.67 
 302.297,     36.33 
 302.671,    -33.24 
 303.045,     -1.82 
 303.420,    -22.02 
 303.794,    -33.24 
 304.168,    -33.24 
 304.542,    -19.78 
 304.916,    -10.80 
 305.290,    -51.20 
 305.664,    -15.29 
 306.038,     16.13 
 306.412,     25.11 
 306.786,    -22.02 
 307.160,     18.38 
 307.534,   -100.57 
 307.907,     -6.31 
 308.281,    -37.73 
 308.655,     18.38 
 309.028,    -17.53 
 309.402,    -98.33 
 309.776,    -26.51 
 310.149,    -44.47 
 310.523,    -17.53 
 310.896,     27.35 
 311.270,      7.15 
 311.643,      0.42 
 312.016,     99.17 
 312.390,    -24.27 
 312.763,      9.40 
 313.136,     56.53 
 313.509,    -19.78 
 313.883,      0.42 
 314.256,     22.86 
 314.629,     11.64 
 315.002,     11.64 
 315.375,     18.38 
 315.748,     25.11 
 316.121,     63.26 
 316.494,    -28.76 
 316.867,     -6.31 
 317.240,     20.62 
 317.612,     22.86 
 317.985,      4.91 
 318.358,      7.15 
 318.730,     40.82 
 319.103,    -17.53 
 319.476,    -37.73 
 319.848,     27.35 
 320.221,     -4.07 
 320.593,     18.38 
 320.966,      9.40 
 321.338,     -4.07 
 321.711,    -24.27 
 322.083,    -98.33 
 322.455,      0.42 
 322.828,    -44.47 
 323.200,     31.84 
 323.572,    -17.53 
 323.944,    -71.40 
 324.316,    -13.05 
 324.688,     40.82 
 325.060,     25.11 
 325.432,     49.80 
 325.804,     11.64 
 326.176,    -62.42 
 326.548,    -31.00 
 326.920,     45.31 
 327.292,     54.29 
 327.664,     47.55 
 328.035,     22.86 
 328.407,     -4.07 
 328.779,    -15.29 
 329.150,      9.40 
 329.522,    -22.02 
 329.893,     -6.31 
 330.265,    -19.78 
 330.636,    -31.00 
 331.008,     -1.82 
 331.379,    -26.51 
 331.750,    -22.02 
 332.122,    -37.73 
 332.493,      0.42 
 332.864,    -35.49 
 333.236,      4.91 
 333.607,      4.91 
 333.978,     16.13 
 334.349,     29.60 
 334.720,     20.62 
 335.091,     22.86 
 335.462,    -82.62 
 335.833,    -10.80 
 336.204,    -31.00 
 336.575,    -13.05 
 336.945,     54.29 
 337.316,     49.80 
 337.687,     85.71 
 338.058,     34.09 
 338.428,    112.64 
 338.799,    -37.73 
 339.169,      4.91 
 339.540,      4.91 
 339.911,      2.67 
 340.281,     11.64 
 340.651,    -22.02 
 341.022,     29.60 
 341.392,    -60.18 
 341.762,      4.91 
 342.133,     61.02 
 342.503,      4.91 
 342.873,     45.31 
 343.243,    130.59 
 343.613,     43.06 
 343.984,     25.11 
 344.354,     16.13 
 344.724,     36.33 
 345.094,     22.86 
 345.464,     81.22 
 345.833,    110.39 
 346.203,    126.10 
 346.573,    137.33 
 346.943,    126.10 
 347.313,     90.19 
 347.682,    159.77 
 348.052,    114.88 
 348.422,     74.48 
 348.791,    123.86 
 349.161,     11.64 
 349.530,    -28.76 
 349.900,    -48.95 
 350.269,    -13.05 
 350.638,      7.15 
 351.008,     56.53 
 351.377,     43.06 
 351.746,     65.51 
 352.116,      2.67 
 352.485,     52.04 
 352.854,    103.66 
 353.223,    121.62 
 353.592,     63.26 
 353.961,     13.89 
 354.330,      7.15 
 354.699,     40.82 
 355.068,     -1.82 
 355.437,    -28.76 
 355.806,    -44.47 
 356.175,    -62.42 
 356.543,     -8.56 
 356.912,      4.91 
 357.281,     27.35 
 357.650,      4.91 
 358.018,     -8.56 
 358.387,    -39.98 
 358.755,    -17.53 
 359.124,    -24.27 
 359.492,     56.53 
 359.861,     56.53 
 360.229,    126.10 
 360.597,    247.30 
 360.966,    200.17 
 361.334,     96.93 
 361.702,     58.77 
 362.070,      9.40 
 362.438,     49.80 
 362.807,    -48.95 
 363.175,     -8.56 
 363.543,     -6.31 
 363.911,     27.35 
 364.279,     45.31 
 364.646,     40.82 
 365.014,     43.06 
 365.382,     -6.31 
 365.750,      7.15 
 366.118,    -53.44 
 366.485,     22.86 
 366.853,     -6.31 
 367.221,     13.89 
 367.588,     -8.56 
 367.956,    -53.44 
 368.323,     45.31 
 368.691,     40.82 
 369.058,    -73.64 
 369.426,     63.26 
 369.793,      2.67 
 370.160,    -57.93 
 370.528,    -13.05 
 370.895,     11.64 
 371.262,      2.67 
 371.629,      7.15 
 371.996,     11.64 
 372.363,     54.29 
 372.730,     22.86 
 373.097,     36.33 
 373.464,    -28.76 
 373.831,    -13.05 
 374.198,    -37.73 
 374.565,    -22.02 
 374.932,    -64.67 
 375.299,    -13.05 
 375.665,    -44.47 
 376.032,     36.33 
 376.399,     49.80 
 376.765,    -24.27 
 377.132,    -19.78 
 377.498,    -42.22 
 377.865,    -33.24 
 378.231,    -17.53 
 378.598,    -26.51 
 378.964,     58.77 
 379.331,      0.42 
 379.697,    -17.53 
 380.063,    -82.62 
 380.429,    -39.98 
 380.795,    -33.24 
 381.162,     16.13 
 381.528,     94.68 
 381.894,    -57.93 
 382.260,     -6.31 
 382.626,     38.57 
 382.992,    -35.49 
 383.358,    -10.80 
 383.723,    -24.27 
 384.089,     49.80 
 384.455,    -26.51 
 384.821,      2.67 
 385.186,     11.64 
 385.552,     47.55 
 385.918,      2.67 
 386.283,     63.26 
 386.649,     47.55 
 387.014,    -53.44 
 387.380,    -26.51 
 387.745,      0.42 
 388.111,     18.38 
 388.476,    -53.44 
 388.841,     27.35 
 389.206,     25.11 
 389.572,    -93.84 
 389.937,    -46.71 
 390.302,     -1.82 
 390.667,     -1.82 
 391.032,     16.13 
 391.397,    -13.05 
