Wavelength,Intensity
 177.185,    -30.30 
 177.571,    -30.30 
 177.957,    -30.30 
 178.343,     -5.61 
 178.729,     -3.37 
 179.115,     19.08 
 179.500,      3.37 
 179.886,    -21.32 
 180.272,     16.83 
 180.658,     59.48 
 181.043,    -37.03 
 181.429,     21.32 
 181.815,    -68.45 
 182.200,     -3.37 
 182.586,     43.76 
 182.972,    -63.96 
 183.357,     39.28 
 183.743,     30.30 
 184.128,    -48.25 
 184.513,    -43.76 
 184.899,     19.08 
 185.284,    -57.23 
 185.670,     25.81 
 186.055,      7.86 
 186.440,     10.10 
 186.825,     14.59 
 187.210,     25.81 
 187.596,    -10.10 
 187.981,    -19.08 
 188.366,     25.81 
 188.751,    -48.25 
 189.136,    -14.59 
 189.521,    -50.50 
 189.906,    -59.48 
 190.291,     12.34 
 190.676,    -32.54 
 191.060,    -14.59 
 191.445,    -21.32 
 191.830,    -54.99 
 192.215,      3.37 
 192.599,    -21.32 
 192.984,    -41.52 
 193.369,    -34.79 
 193.753,     14.59 
 194.138,     61.72 
 194.522,     30.30 
 194.907,     -1.12 
 195.291,     -3.37 
 195.676,     -3.37 
 196.060,    -48.25 
 196.445,    -19.08 
 196.829,      1.12 
 197.213,    -57.23 
 197.597,    -41.52 
 197.982,    -32.54 
 198.366,     21.32 
 198.750,    -37.03 
 199.134,     -3.37 
 199.518,     -1.12 
 199.902,    -46.01 
 200.286,    -10.10 
 200.670,    -50.50 
 201.054,     37.03 
 201.438,     72.94 
 201.822,      7.86 
 202.206,    -28.05 
 202.590,    -32.54 
 202.973,     50.50 
 203.357,     50.50 
 203.741,      7.86 
 204.124,     14.59 
 204.508,     88.65 
 204.892,     14.59 
 205.275,     16.83 
 205.659,    -48.25 
 206.042,     -7.86 
 206.426,    -12.34 
 206.809,     48.25 
 207.193,     28.05 
 207.576,      3.37 
 207.959,      3.37 
 208.342,     19.08 
 208.726,    -21.32 
 209.109,    -43.76 
 209.492,    -81.92 
 209.875,     -5.61 
 210.258,     -1.12 
 210.641,    -25.81 
 211.025,    -12.34 
 211.408,     10.10 
 211.790,    -37.03 
 212.173,      3.37 
 212.556,    -10.10 
 212.939,    -30.30 
 213.322,    -28.05 
 213.705,      5.61 
 214.088,    -46.01 
 214.470,    -25.81 
 214.853,    -25.81 
 215.236,    -57.23 
 215.618,     -7.86 
 216.001,    -32.54 
 216.383,    -19.08 
 216.766,     14.59 
 217.148,    -72.94 
 217.531,    -32.54 
 217.913,    -43.76 
 218.296,    -23.57 
 218.678,      3.37 
 219.060,     41.52 
 219.443,    -39.28 
 219.825,    -16.83 
 220.207,    -41.52 
 220.589,    -16.83 
 220.971,     12.34 
 221.353,     12.34 
 221.735,    -50.50 
 222.118,    -32.54 
 222.500,     -3.37 
 222.881,    -28.05 
 223.263,    -21.32 
 223.645,     39.28 
 224.027,    -95.38 
 224.409,    -54.99 
 224.791,   -104.36 
 225.172,    -93.14 
 225.554,    -50.50 
 225.936,    -95.38 
 226.317,      3.37 
 226.699,    -66.21 
 227.081,     66.21 
 227.462,     14.59 
 227.844,     48.25 
 228.225,    -32.54 
 228.607,     43.76 
 228.988,    -30.30 
 229.369,    -25.81 
 229.751,    -86.41 
 230.132,     46.01 
 230.513,    -21.32 
 230.894,    -30.30 
 231.276,    -39.28 
 231.657,    -68.45 
 232.038,    -19.08 
 232.419,     -7.86 
 232.800,    -52.74 
 233.181,     -5.61 
 233.562,    -95.38 
 233.943,    -39.28 
 234.324,     25.81 
 234.705,      5.61 
 235.085,      5.61 
 235.466,     32.54 
 235.847,    -30.30 
 236.228,     19.08 
 236.608,    -61.72 
 236.989,    -32.54 
 237.370,    -75.19 
 237.750,    -23.57 
 238.131,     39.28 
 238.511,     23.57 
 238.892,    -32.54 
 239.272,    -66.21 
 239.653,    -32.54 
 240.033,    -19.08 
 240.413,    -19.08 
 240.794,    -23.57 
 241.174,    -23.57 
 241.554,    -68.45 
 241.934,    -19.08 
 242.314,    -43.76 
 242.694,    -23.57 
 243.075,    -70.70 
 243.455,     -5.61 
 243.835,    -32.54 
 244.215,    -32.54 
 244.595,      3.37 
 244.974,     -7.86 
 245.354,     -3.37 
 245.734,    -23.57 
 246.114,     -1.12 
 246.494,    -19.08 
 246.873,     -5.61 
 247.253,    -37.03 
 247.633,    -19.08 
 248.012,     10.10 
 248.392,    -66.21 
 248.771,    -59.48 
 249.151,    -50.50 
 249.530,    -77.43 
 249.910,    -21.32 
 250.289,    -75.19 
 250.669,    -25.81 
 251.048,     43.76 
 251.427,     -5.61 
 251.806,    -28.05 
 252.186,      3.37 
 252.565,     14.59 
 252.944,     19.08 
 253.323,    -50.50 
 253.702,     -7.86 
 254.081,    -21.32 
 254.460,    -32.54 
 254.839,    -66.21 
 255.218,     21.32 
 255.597,    -10.10 
 255.976,    -41.52 
 256.355,    -19.08 
 256.733,     14.59 
 257.112,     -5.61 
 257.491,    -19.08 
 257.870,     25.81 
 258.248,    -30.30 
 258.627,     30.30 
 259.005,    -68.45 
 259.384,    -68.45 
 259.762,     25.81 
 260.141,      1.12 
 260.519,    -41.52 
 260.898,    -70.70 
 261.276,    -61.72 
 261.654,    -75.19 
 262.033,    -97.63 
 262.411,    -30.30 
 262.789,    -61.72 
 263.167,    -23.57 
 263.545,      7.86 
 263.924,    -16.83 
 264.302,    -25.81 
 264.680,    -30.30 
 265.058,     19.08 
 265.436,      5.61 
 265.813,     63.96 
 266.191,    -52.74 
 266.569,     -7.86 
 266.947,     19.08 
 267.325,     34.79 
 267.702,      1.12 
 268.080,     50.50 
 268.458,     16.83 
 268.835,    -41.52 
 269.213,    -66.21 
 269.591,    -34.79 
 269.968,     21.32 
 270.346,     37.03 
 270.723,      5.61 
 271.100,    -12.34 
 271.478,     57.23 
 271.855,    -19.08 
 272.232,     23.57 
 272.610,     -7.86 
 272.987,    -19.08 
 273.364,     -1.12 
 273.741,    -34.79 
 274.118,     48.25 
 274.495,     19.08 
 274.872,     14.59 
 275.249,     14.59 
 275.626,      7.86 
 276.003,     63.96 
 276.380,     57.23 
 276.757,    -14.59 
 277.134,     39.28 
 277.511,     88.65 
 277.887,     48.25 
 278.264,    -19.08 
 278.641,     -5.61 
 279.018,    -21.32 
 279.394,     12.34 
 279.771,     -5.61 
 280.147,     39.28 
 280.524,     25.81 
 280.900,    -32.54 
 281.277,      7.86 
 281.653,     46.01 
 282.029,      3.37 
 282.406,     93.14 
 282.782,     99.87 
 283.158,    111.10 
 283.534,    131.29 
 283.910,     68.45 
 284.287,     75.19 
 284.663,     57.23 
 285.039,    117.83 
 285.415,    131.29 
 285.791,    160.47 
 286.167,    120.07 
 286.542,    126.81 
 286.918,    147.00 
 287.294,    187.40 
 287.670,    129.05 
 288.046,     95.38 
 288.421,    173.94 
 288.797,     95.38 
 289.173,    162.72 
 289.548,    187.40 
 289.924,    140.27 
 290.299,    189.65 
 290.675,    234.53 
 291.050,    256.98 
 291.426,    187.40 
 291.801,    176.18 
 292.177,    241.27 
 292.552,    185.16 
 292.927,    104.36 
 293.302,    147.00 
 293.678,    212.09 
 294.053,    178.43 
 294.428,    153.74 
 294.803,    182.91 
 295.178,    138.03 
 295.553,    203.11 
 295.928,    223.31 
 296.303,    115.58 
 296.678,    124.56 
 297.053,    142.52 
 297.427,    223.31 
 297.802,    113.34 
 298.177,    162.72 
 298.552,    158.23 
 298.926,    151.49 
 299.301,    185.16 
 299.676,    176.18 
 300.050,    180.67 
 300.425,    301.86 
 300.799,    283.91 
 301.174,    209.85 
 301.548,    158.23 
 301.922,    230.05 
 302.297,    243.51 
 302.671,    234.53 
 303.045,    196.38 
 303.420,    241.27 
 303.794,    239.02 
 304.168,    225.56 
 304.542,    212.09 
 304.916,    277.18 
 305.290,    301.86 
 305.664,    333.29 
 306.038,    319.82 
 306.412,    346.75 
 306.786,    512.83 
 307.160,    809.09 
 307.534,   1296.11 
 307.907,   2034.50 
 308.281,   2456.44 
 308.655,   2265.67 
 309.028,   2510.30 
 309.402,   3078.13 
 309.776,   3351.94 
 310.149,   3737.96 
 310.523,   4108.28 
 310.896,   3473.13 
 311.270,   3096.08 
 311.643,   2766.16 
 312.016,   2503.57 
 312.390,   2420.53 
 312.763,   2341.98 
 313.136,   2236.49 
 313.509,   2312.80 
 313.883,   2326.27 
 314.256,   2061.43 
 314.629,   1911.06 
 315.002,   2135.50 
 315.375,   2030.01 
 315.748,   2038.99 
 316.121,   2016.55 
 316.494,   1924.53 
 316.867,   1753.96 
 317.240,   1780.89 
 317.612,   1691.12 
 317.985,   1610.32 
 318.358,   1475.66 
 318.730,   1464.44 
 319.103,   1367.93 
 319.476,   1269.18 
 319.848,   1287.13 
 320.221,   1147.98 
 320.593,   1035.77 
 320.966,    990.88 
 321.338,   1011.08 
 321.711,    896.62 
 322.083,    880.91 
 322.455,    952.73 
 322.828,    961.70 
 323.200,    860.71 
 323.572,    961.70 
 323.944,    831.53 
 324.316,    860.71 
 324.688,    858.46 
 325.060,    692.38 
 325.432,    667.69 
 325.804,    640.76 
 326.176,    625.05 
 326.548,    555.48 
 326.920,    528.54 
 327.292,    474.68 
 327.664,    544.25 
 328.035,    510.59 
 328.407,    420.82 
 328.779,    510.59 
 329.150,    562.21 
 329.522,    553.23 
 329.893,    524.06 
 330.265,    593.63 
 330.636,    443.26 
 331.008,    463.46 
 331.379,    472.44 
 331.750,    474.68 
 332.122,    423.06 
 332.493,    436.53 
 332.864,    472.44 
 333.236,    524.06 
 333.607,    436.53 
 333.978,    436.53 
 334.349,    333.29 
 334.720,    443.26 
