Wavelength,Intensity
 177.185,    -83.60 
 177.571,    -83.60 
 177.957,    -83.60 
 178.343,    -43.20 
 178.729,   -103.80 
 179.115,    -52.18 
 179.500,     64.53 
 179.886,     33.10 
 180.272,     15.15 
 180.658,     44.33 
 181.043,     48.81 
 181.429,     42.08 
 181.815,     46.57 
 182.200,    -11.78 
 182.586,    -25.25 
 182.972,     26.37 
 183.357,     44.33 
 183.743,    -45.45 
 184.128,    -83.60 
 184.513,     21.88 
 184.899,    -27.49 
 185.284,    -16.27 
 185.670,    -16.27 
 186.055,    -63.40 
 186.440,      8.42 
 186.825,     10.66 
 187.210,    -40.96 
 187.596,    -63.40 
 187.981,    -16.27 
 188.366,     28.62 
 188.751,    -23.00 
 189.136,    -79.11 
 189.521,     15.15 
 189.906,    -31.98 
 190.291,    -56.67 
 190.676,     39.84 
 191.060,     35.35 
 191.445,    -61.16 
 191.830,    -56.67 
 192.215,    -25.25 
 192.599,     44.33 
 192.984,    -29.74 
 193.369,    -58.91 
 193.753,    -16.27 
 194.138,    -31.98 
 194.522,    -43.20 
 194.907,   -117.27 
 195.291,    -67.89 
 195.676,    -47.69 
 196.060,    -31.98 
 196.445,     -9.54 
 196.829,    -76.87 
 197.213,    -65.65 
 197.597,     15.15 
 197.982,     -2.81 
 198.366,      3.93 
 198.750,    -63.40 
 199.134,    -54.43 
 199.518,     35.35 
 199.902,    -11.78 
 200.286,     -0.56 
 200.670,    -16.27 
 201.054,    -20.76 
 201.438,    -38.72 
 201.822,     -7.29 
 202.206,    -81.36 
 202.590,    -63.40 
 202.973,     30.86 
 203.357,   -110.53 
 203.741,    -36.47 
 204.124,    -31.98 
 204.508,     -0.56 
 204.892,    -61.16 
 205.275,    -45.45 
 205.659,     -2.81 
 206.042,     77.99 
 206.426,    -11.78 
 206.809,     -9.54 
 207.193,    -40.96 
 207.576,    -38.72 
 207.959,     12.91 
 208.342,     21.88 
 208.726,    -76.87 
 209.109,    -20.76 
 209.492,     19.64 
 209.875,    -56.67 
 210.258,     19.64 
 210.641,     80.24 
 211.025,    -16.27 
 211.408,    -20.76 
 211.790,    -14.03 
 212.173,    -54.43 
 212.556,    -20.76 
 212.939,    -14.03 
 213.322,    -25.25 
 213.705,    -49.94 
 214.088,    -23.00 
 214.470,    -14.03 
 214.853,    -31.98 
 215.236,     42.08 
 215.618,   -103.80 
 216.001,    -31.98 
 216.383,    -14.03 
 216.766,     17.39 
 217.148,     53.30 
 217.531,    -18.52 
 217.913,     -2.81 
 218.296,    -23.00 
 218.678,     19.64 
 219.060,    -88.09 
 219.443,    -61.16 
 219.825,    -25.25 
 220.207,    -43.20 
 220.589,    -52.18 
 220.971,    -27.49 
 221.353,      3.93 
 221.735,    -31.98 
 222.118,    -58.91 
 222.500,    -45.45 
 222.881,    -25.25 
 223.263,      8.42 
 223.645,   -117.27 
 224.027,   -101.56 
 224.409,     48.81 
 224.791,    -25.25 
 225.172,    -23.00 
 225.554,      1.68 
 225.936,    -70.14 
 226.317,    -31.98 
 226.699,    -65.65 
 227.081,     80.24 
 227.462,    -52.18 
 227.844,    -63.40 
 228.225,    -74.62 
 228.607,     -9.54 
 228.988,    -38.72 
 229.369,    -49.94 
 229.751,    -52.18 
 230.132,     35.35 
 230.513,    -18.52 
 230.894,     10.66 
 231.276,    -16.27 
 231.657,    -27.49 
 232.038,     10.66 
 232.419,    -14.03 
 232.800,     39.84 
 233.181,    -14.03 
 233.562,     30.86 
 233.943,    -72.38 
 234.324,    -56.67 
 234.705,    -40.96 
 235.085,    -29.74 
 235.466,      1.68 
 235.847,    -49.94 
 236.228,    -47.69 
 236.608,     35.35 
 236.989,     19.64 
 237.370,    -43.20 
 237.750,    -29.74 
 238.131,    -27.49 
 238.511,    -49.94 
 238.892,     -5.05 
 239.272,    -40.96 
 239.653,    -54.43 
 240.033,    -14.03 
 240.413,    -18.52 
 240.794,     -2.81 
 241.174,    -11.78 
 241.554,    -11.78 
 241.934,     15.15 
 242.314,     -7.29 
 242.694,      3.93 
 243.075,    -58.91 
 243.455,    -58.91 
 243.835,    -16.27 
 244.215,      8.42 
 244.595,     10.66 
 244.974,    -70.14 
 245.354,    -20.76 
 245.734,    -23.00 
 246.114,     -9.54 
 246.494,    -49.94 
 246.873,    -79.11 
 247.253,    -63.40 
 247.633,    -74.62 
 248.012,     -9.54 
 248.392,    -18.52 
 248.771,    -29.74 
 249.151,    -58.91 
 249.530,     26.37 
 249.910,    -23.00 
 250.289,    -74.62 
 250.669,     30.86 
 251.048,    -11.78 
 251.427,     -5.05 
 251.806,     -2.81 
 252.186,     15.15 
 252.565,     -7.29 
 252.944,     24.13 
 253.323,    -25.25 
 253.702,     -5.05 
 254.081,     12.91 
 254.460,    -34.23 
 254.839,     19.64 
 255.218,     21.88 
 255.597,     24.13 
 255.976,    -16.27 
 256.355,     10.66 
 256.733,     19.64 
 257.112,    -54.43 
 257.491,     -7.29 
 257.870,   -110.53 
 258.248,    -67.89 
 258.627,    -23.00 
 259.005,    -40.96 
 259.384,     42.08 
 259.762,     33.10 
 260.141,    -63.40 
 260.519,    -67.89 
 260.898,     -0.56 
