.HEADER
..NAMES
Time,u1/v,u2/i
..UNITS
s,Voltage(V),Current(A)
..DATATYPES
double,double,double
..WAVEFORM_TYPES
-,analog,analog
..AXIS_SPACING
linear
.DATA
1.1913300000000055E-4,-9.99954174407943,-9.99954184407943E-7
1.250896500000006E-4,-9.999529831041517,-9.999529931041518E-7
1.3124160000000062E-4,-9.999517527412197,-9.999517627412198E-7
1.3759200000000064E-4,-9.99950482689161,-9.99950492689161E-7
1.4414400000000067E-4,-9.99949172317989,-9.99949182317989E-7
1.509007500000007E-4,-9.99947820997718,-9.999478309977178E-7
1.5786540000000074E-4,-9.999464280983618,-9.999464380983618E-7
1.6504110000000076E-4,-9.99944992989934,-9.999450029899343E-7
1.7243100000000083E-4,-9.999435150424492,-9.999435250424492E-7
1.8003825000000086E-4,-9.999419936259201,-9.9994200362592E-7
1.878660000000009E-4,-9.999404281103617,-9.99940438110362E-7
1.9591740000000094E-4,-9.99938817865787,-9.999388278657872E-7
2.0419560000000097E-4,-9.999371622622101,-9.999371722622102E-7
2.1270375000000103E-4,-9.999354606696453,-9.999354706696455E-7
2.214450000000011E-4,-9.99933712458106,-9.999337224581062E-7
2.3042250000000116E-4,-9.999319169976062,-9.999319269976061E-7
2.396394000000012E-4,-9.999300736581596,-9.999300836581595E-7
2.490988500000012E-4,-9.999281818097801,-9.9992819180978E-7
2.588040000000013E-4,-9.99926240822482,-9.999262508224822E-7
2.687580000000014E-4,-9.999242500662785,-9.999242600662785E-7
2.789640000000014E-4,-9.999222089111841,-9.99922218911184E-7
2.894251500000015E-4,-9.99920116727212,-9.99920126727212E-7
3.001446000000016E-4,-9.999179728843764,-9.999179828843767E-7
3.111255000000017E-4,-9.999157767526915,-9.999157867526917E-7
3.223710000000017E-4,-9.999135277021708,-9.999135377021707E-7
3.3388425000000177E-4,-9.999112251028276,-9.999112351028276E-7
3.4566840000000186E-4,-9.99908868324677,-9.99908878324677E-7
3.5772660000000194E-4,-9.999064567377316,-9.999064667377315E-7
3.70062000000002E-4,-9.999039897120063,-9.999039997120063E-7
3.8267775000000204E-4,-9.999014666175144,-9.999014766175146E-7
3.955770000000021E-4,-9.998988868242696,-9.998988968242695E-7
4.087629000000022E-4,-9.998962497022866,-9.998962597022867E-7
4.222386000000023E-4,-9.998935546215781,-9.99893564621578E-7
4.3600725000000234E-4,-9.99890800952159,-9.99890810952159E-7
4.500720000000024E-4,-9.998879880640427,-9.998879980640427E-7
4.644360000000025E-4,-9.998851153272428,-9.998851253272428E-7
4.7910240000000254E-4,-9.998821821117735,-9.998821921117738E-7
4.940743500000027E-4,-9.998791877876487,-9.998791977876485E-7
5.093550000000027E-4,-9.998761317248821,-9.998761417248822E-7
5.249475000000028E-4,-9.998730132934874,-9.998730232934874E-7
5.40855000000003E-4,-9.998698318634789,-9.998698418634789E-7
5.570806500000031E-4,-9.998665868048704,-9.998665968048705E-7
5.736276000000032E-4,-9.998632774876754,-9.998632874876753E-7
5.904990000000033E-4,-9.99859903281908,-9.998599132819077E-7
6.076980000000034E-4,-9.998564635575818,-9.998564735575818E-7
6.252277500000035E-4,-9.99852957684711,-9.99852967684711E-7
6.430914000000036E-4,-9.998493850333091,-9.99849395033309E-7
6.612921000000038E-4,-9.998457449733905,-9.998457549733907E-7
6.798330000000039E-4,-9.998420368749688,-9.998420468749687E-7
6.987172500000041E-4,-9.998382601080577,-9.998382701080577E-7
7.179480000000042E-4,-9.99834414042671,-9.99834424042671E-7
7.375284000000042E-4,-9.998304980488228,-9.998305080488228E-7
7.574616000000043E-4,-9.998265114965273,-9.998265214965274E-7
7.777507500000045E-4,-9.998224537557974,-9.998224637557973E-7
7.983990000000045E-4,-9.998183241966476,-9.998183341966478E-7
8.194095000000047E-4,-9.998141221890918,-9.998141321890918E-7
8.407854000000048E-4,-9.998098471031438,-9.998098571031439E-7
8.625298500000051E-4,-9.998054983088172,-9.998055083088172E-7
8.846460000000052E-4,-9.998010751761262,-9.998010851761265E-7
9.071370000000053E-4,-9.997965770750843,-9.997965870750843E-7
9.300060000000055E-4,-9.997920033757056,-9.997920133757054E-7
9.532561500000056E-4,-9.997873534480041,-9.997873634480044E-7
9.768906000000058E-4,-9.997826266619933,-9.997826366619934E-7
0.0010009125000000059,-9.997778223876875,-9.997778323876874E-7
0.001025325000000006,-9.997729399951,-9.997729499951002E-7
0.001050131250000006,-9.99767978854245,-9.99767988854245E-7
0.0010753344000000063,-9.997629383351368,-9.997629483351366E-7
0.0011009376000000065,-9.997578178077882,-9.997578278077884E-7
0.0011269440000000067,-9.99752616642214,-9.997526266422139E-7
0.0011533567500000069,-9.997473342084273,-9.997473442084274E-7
0.001180179000000007,-9.997419698764427,-9.997419798764426E-7
0.001207413900000007,-9.997365230162737,-9.997365330162738E-7
0.0012350646000000075,-9.997309929979341,-9.997310029979341E-7
0.0012631342500000076,-9.99725379191438,-9.99725389191438E-7
0.0012916260000000077,-9.997196809667987,-9.997196909667987E-7
0.001320543000000008,-9.997138976940306,-9.997139076940307E-7
0.0013498884000000082,-9.997080287431476,-9.997080387431474E-7
0.0013796653500000083,-9.997020734841632,-9.997020834841632E-7
0.0014098770000000084,-9.996960312870916,-9.996960412870917E-7
0.0014405265000000088,-9.996899015219466,-9.996899115219466E-7
0.001471617000000009,-9.996836835587418,-9.996836935587416E-7
0.001503151650000009,-9.99677376767491,-9.996773867674911E-7
0.0015351336000000093,-9.996709805182087,-9.996709905182086E-7
0.0015675660000000094,-9.99664494180908,-9.996645041809082E-7
0.0016004520000000096,-9.996579171256032,-9.996579271256032E-7
0.0016337947500000098,-9.996512487223082,-9.996512587223083E-7
0.00166759740000001,-9.996444883410364,-9.996444983410364E-7
0.0017018631000000103,-9.996376353518023,-9.996376453518024E-7
0.0017365950000000103,-9.996306891246192,-9.996306991246193E-7
0.0017717962500000107,-9.996236490295011,-9.996236590295012E-7
0.0018074700000000109,-9.996165144364625,-9.996165244364627E-7
0.0018436194000000109,-9.996092847155161,-9.996092947155162E-7
0.001880247600000011,-9.996019592366766,-9.996019692366769E-7
0.0019173577500000113,-9.99594537369958,-9.995945473699579E-7
0.0019549530000000114,-9.995870184853732,-9.995870284853733E-7
0.0019930365000000116,-9.99579401952937,-9.995794119529371E-7
0.002031611400000012,-9.99571687142663,-9.995716971426633E-7
0.0020706808500000123,-9.995638734245647,-9.995638834245646E-7
0.002110248000000012,-9.995559601686564,-9.995559701686564E-7
0.0021503160000000128,-9.995479467449517,-9.995479567449517E-7
0.0021908880000000132,-9.995398325234646,-9.995398425234647E-7
0.0022319671500000133,-9.99531616874209,-9.995316268742092E-7
0.0022735566000000136,-9.995232991671982,-9.995233091671985E-7
0.002315659500000014,-9.99514878772447,-9.995148887724468E-7
0.0023582790000000148,-9.995063550599689,-9.99506365059969E-7
0.0024014182500000153,-9.99497727399777,-9.994977373997772E-7
0.0024450804000000154,-9.994889951618866,-9.994890051618868E-7
0.0024892686000000156,-9.994801577163102,-9.994801677163102E-7
0.002533986000000016,-9.994712144330625,-9.994712244330625E-7
0.0025792357500000166,-9.994621646821571,-9.99462174682157E-7
0.002625021000000017,-9.994530078336076,-9.99453017833608E-7
0.002671344900000017,-9.994437432574284,-9.994437532574285E-7
0.0027182106000000175,-9.99434370323633,-9.99434380323633E-7
0.002765621250000018,-9.99424888402235,-9.99424898402235E-7
0.002813580000000018,-9.994152968632491,-9.994153068632491E-7
0.002862090000000019,-9.994055950766882,-9.994056050766885E-7
0.0029111544000000192,-9.99395782412567,-9.99395792412567E-7
0.0029607763500000195,-9.993858582408988,-9.99385868240899E-7
0.0030109590000000196,-9.993758219316977,-9.993758319316975E-7
0.00306170550000002,-9.993656728549771,-9.99365682854977E-7
0.0031130190000000207,-9.993554103807515,-9.993554203807515E-7
0.003164902650000021,-9.993450338790348,-9.993450438790348E-7
0.0032173596000000214,-9.9933454271984,-9.993345527198402E-7
0.0032703930000000216,-9.99323936273182,-9.993239462731823E-7
0.003324006000000022,-9.99313213909074,-9.99313223909074E-7
0.0033782017500000225,-9.993023749975302,-9.993023849975302E-7
0.003432983400000023,-9.99291418908564,-9.99291428908564E-7
0.003488354100000023,-9.992803450121897,-9.992803550121898E-7
0.0035443170000000234,-9.992691526784212,-9.992691626784214E-7
0.003600875250000024,-9.99257841277272,-9.99257851277272E-7
0.0036580320000000246,-9.99246410178756,-9.992464201787559E-7
0.003715790400000025,-9.992348587528875,-9.992348687528877E-7
0.0037741536000000255,-9.992231863696798,-9.992231963696799E-7
0.003833124750000026,-9.99211392399147,-9.99211402399147E-7
0.0038927070000000265,-9.991994762113032,-9.991994862113033E-7
0.003952903500000026,-9.991874371761622,-9.99187447176162E-7
0.004013717400000027,-9.991752746637376,-9.991752846637376E-7
0.004075151850000028,-9.991629880440431,-9.99162998044043E-7
0.004137210000000028,-9.99150576687093,-9.99150586687093E-7
0.004199895000000028,-9.99138039962901,-9.991380499629009E-7
0.0042632100000000285,-9.991253772414808,-9.991253872414808E-7
0.004327158150000028,-9.991125878928464,-9.991125978928464E-7
0.0043917426000000285,-9.990996712870118,-9.99099681287012E-7
0.004456966500000029,-9.990866267939907,-9.990866367939908E-7
0.00452283300000003,-9.99073453783797,-9.990734637837971E-7
0.004589345250000031,-9.99060151626444,-9.99060161626444E-7
0.004656506400000032,-9.990467196919468,-9.990467296919468E-7
0.004724319600000032,-9.990331573503184,-9.990331673503182E-7
0.004792788000000032,-9.990194639715726,-9.99019473971573E-7
0.004861914750000033,-9.990056389257235,-9.990056489257236E-7
0.004931703000000034,-9.98991681582785,-9.98991691582785E-7
0.005002155900000034,-9.989775913127712,-9.98977601312771E-7
0.005073276600000035,-9.989633674856954,-9.989633774856956E-7
0.005145068250000035,-9.989490094715716,-9.989490194715717E-7
0.005217534000000036,-9.98934516640414,-9.98934526640414E-7
0.005290677000000037,-9.989198883622361,-9.98919898362236E-7
0.005364500400000037,-9.989051240070516,-9.989051340070518E-7
0.005439007350000037,-9.988902229448751,-9.988902329448752E-7
0.005514201000000038,-9.988751845457198,-9.9887519454572E-7
0.005590084500000038,-9.988600081796001,-9.988600181795999E-7
0.00566666100000004,-9.988446932165294,-9.988447032165295E-7
0.00574393365000004,-9.988292390265213,-9.988292490265212E-7
0.00582190560000004,-9.988136449795906,-9.988136549795903E-7
0.005900580000000041,-9.987979104457501,-9.987979204457502E-7
0.005979960000000041,-9.987820347950146,-9.987820447950145E-7
0.006060048750000042,-9.987660173973975,-9.987660273973976E-7
0.006140849400000043,-9.987498576229124,-9.987498676229123E-7
0.006222365100000043,-9.987335548415736,-9.987335648415737E-7
0.0063045990000000435,-9.987171084233948,-9.987171184233948E-7
0.006387554250000044,-9.987005177383896,-9.987005277383895E-7
0.006471234000000045,-9.986837821565727,-9.986837921565727E-7
0.006555641400000045,-9.986669010479568,-9.986669110479569E-7
0.006640779600000046,-9.986498737825569,-9.986498837825569E-7
0.006726651750000046,-9.986326997303859,-9.98632709730386E-7
0.006813261000000047,-9.986153782614583,-9.986153882614583E-7
0.006900610500000048,-9.985979087457874,-9.985979187457877E-7
0.0069887034000000485,-9.98580290553388,-9.98580300553388E-7
0.0070775428500000495,-9.985625230542727,-9.98562533054273E-7
0.00716713200000005,-9.985446056184566,-9.985446156184565E-7
0.007257474000000051,-9.985265376159527,-9.985265476159525E-7
0.0073485720000000514,-9.985083184167749,-9.985083284167747E-7
0.0074404291500000524,-9.984899473909374,-9.984899573909374E-7
0.007533048600000053,-9.98471423908454,-9.98471433908454E-7
0.007626433500000054,-9.984527473393385,-9.984527573393386E-7
0.007720587000000055,-9.98433917053605,-9.984339270536049E-7
0.007815512250000056,-9.984149324212668,-9.98414942421267E-7
0.007911212400000056,-9.983957928123381,-9.983958028123381E-7
0.008007690600000056,-9.98376497596833,-9.98376507596833E-7
0.008104950000000057,-9.983570461447648,-9.983570561447648E-7
0.008202993750000059,-9.983374378261477,-9.983374478261477E-7
0.00830182500000006,-9.983176720109958,-9.983176820109956E-7
0.00840144690000006,-9.982977480693224,-9.982977580693224E-7
0.008501862600000062,-9.98277665371142,-9.98277675371142E-7
0.008603075250000062,-9.982574232864675,-9.982574332864675E-7
0.008705088000000062,-9.98237021185314,-9.98237031185314E-7
0.008807904000000063,-9.982164584376944,-9.982164684376946E-7
0.008911526400000062,-9.981957344136228,-9.98195744413623E-7
0.009015958350000063,-9.981748484831133,-9.981748584831136E-7
0.009121203000000064,-9.981538000161798,-9.981538100161798E-7
0.009227263500000063,-9.981325883828356,-9.981325983828355E-7
0.009334143000000064,-9.981112129530949,-9.981112229530949E-7
0.009441844650000064,-9.980896730969718,-9.98089683096972E-7
0.009550371600000065,-9.9806796818448,-9.980679781844799E-7
0.009659727000000066,-9.98046097585633,-9.98046107585633E-7
0.009769914000000065,-9.980240606704454,-9.980240706704453E-7
0.009880935750000066,-9.9800185680893,-9.980018668089302E-7
0.009992795400000067,-9.979794853711017,-9.979794953711017E-7
0.010105496100000068,-9.979569457269742,-9.97956955726974E-7
0.010219041000000068,-9.979342372465604,-9.979342472465605E-7
0.010333433250000067,-9.979113592998752,-9.979113692998753E-7
0.010448676000000068,-9.978883112569324,-9.978883212569325E-7
0.010564772400000068,-9.978650924877451,-9.978651024877453E-7
0.01068172560000007,-9.978417023623281,-9.97841712362328E-7
0.01079953875000007,-9.978181402506946,-9.978181502506946E-7
0.01091821500000007,-9.977944055228585,-9.977944155228586E-7
0.01103775750000007,-9.977704975488338,-9.977705075488338E-7
0.01115816940000007,-9.977464156986347,-9.977464256986348E-7
0.01127945385000007,-9.977221593422746,-9.977221693422746E-7
0.011401614000000072,-9.976977278497673,-9.976977378497671E-7
0.011524653000000072,-9.97673120591127,-9.97673130591127E-7
0.011648574000000071,-9.976483369363672,-9.976483469363674E-7
0.011773380150000071,-9.976233762555024,-9.976233862555023E-7
0.011899074600000073,-9.975982379185456,-9.975982479185455E-7
0.012025660500000073,-9.975729212955113,-9.975729312955115E-7
0.012153141000000074,-9.975474257564132,-9.975474357564131E-7
0.012281519250000074,-9.975217506712655,-9.975217606712655E-7
0.012410798400000074,-9.974958954100812,-9.97495905410081E-7
0.012540981600000075,-9.974698593428743,-9.974698693428745E-7
0.012672072000000076,-9.974436418396593,-9.974436518396593E-7
0.012804072750000076,-9.974172422704498,-9.974172522704499E-7
0.012936987000000075,-9.973906600052599,-9.973906700052603E-7
0.013070817900000076,-9.973638944141031,-9.973639044141029E-7
0.013205568600000077,-9.97336944866993,-9.973369548669928E-7
0.013341242250000078,-9.973098107339439,-9.973098207339437E-7
0.013477842000000077,-9.972824913849694,-9.972825013849694E-7
0.013615371000000077,-9.972549861900838,-9.97254996190084E-7
0.013753832400000077,-9.972272945193003,-9.972273045193003E-7
0.01389322935000008,-9.971994157426337,-9.97199425742634E-7
0.01403356500000008,-9.97171349230097,-9.97171359230097E-7
0.01417484250000008,-9.971430943517044,-9.971431043517044E-7
0.014317065000000078,-9.971146504774694,-9.971146604774695E-7
0.01446023565000008,-9.970860169774063,-9.970860269774066E-7
0.014604357600000081,-9.970571932215291,-9.970572032215292E-7
0.01474943400000008,-9.97028178579851,-9.970281885798511E-7
0.014895468000000082,-9.969989724223867,-9.969989824223864E-7
0.01504246275000008,-9.969695741191495,-9.969695841191495E-7
0.01519042140000008,-9.969399830401532,-9.969399930401534E-7
0.015339347100000083,-9.969101985554119,-9.96910208555412E-7
0.015489243000000083,-9.968802200349394,-9.968802300349397E-7
0.015640112250000084,-9.968500468487491,-9.968500568487493E-7
0.01579195800000008,-9.96819678366856,-9.968196883668559E-7
0.015944783400000082,-9.967891139592728,-9.96789123959273E-7
0.016098591600000083,-9.96758352996014,-9.96758362996014E-7
0.016253385750000085,-9.967273948470934,-9.967274048470935E-7
0.016409169000000084,-9.966962388825248,-9.966962488825245E-7
0.016565944500000086,-9.966648844723217,-9.96664894472322E-7
0.016723715400000085,-9.966333309864984,-9.966333409864986E-7
0.016882484850000084,-9.966015777950684,-9.966015877950684E-7
0.017042256000000085,-9.965696242680462,-9.96569634268046E-7
0.017203032000000087,-9.96537469775445,-9.965374797754451E-7
0.01736481600000009,-9.965051136872788,-9.965051236872787E-7
0.01752761115000009,-9.964725553735619,-9.964725653735619E-7
0.017691420600000087,-9.964397942043075,-9.964398042043074E-7
0.017856247500000092,-9.9640682954953,-9.964068395495302E-7
0.018022095000000092,-9.963736607792427,-9.963736707792429E-7
0.01818896625000009,-9.963402872634603,-9.963402972634606E-7
0.018356864400000093,-9.96306708372196,-9.963067183721961E-7
0.01852579260000009,-9.962729234754635,-9.962729334754636E-7
0.018695754000000096,-9.962389319432774,-9.962389419432773E-7
0.018866751750000094,-9.962047331456509,-9.96204743145651E-7
0.019038789000000094,-9.961703264525982,-9.961703364525981E-7
0.019211868900000095,-9.96135711234133,-9.961357212341328E-7
0.019385994600000095,-9.96100886860269,-9.96100896860269E-7
0.019561169250000097,-9.960658527010205,-9.960658627010207E-7
0.019737396000000098,-9.960306081264012,-9.960306181264012E-7
0.0199146780000001,-9.95995152506425,-9.95995162506425E-7
0.0200930184000001,-9.959594852111053,-9.959594952111054E-7
0.0202724203500001,-9.959236056104565,-9.959236156104565E-7
0.020452887000000104,-9.958875130744925,-9.958875230744925E-7
0.0206344215000001,-9.958512069732265,-9.958512169732264E-7
0.020817027000000102,-9.958146866766732,-9.95814696676673E-7
0.021000706650000103,-9.957779515548458,-9.957779615548458E-7
0.021185463600000103,-9.957410009777584,-9.957410109777585E-7
0.021371301000000106,-9.95703834315425,-9.957038443154251E-7
0.021558222000000106,-9.956664509378594,-9.956664609378594E-7
0.021746229750000106,-9.956288502150752,-9.956288602150751E-7
0.021935327400000107,-9.955910315170867,-9.955910415170868E-7
0.022125518100000106,-9.955529942139075,-9.955530042139074E-7
0.02231680500000011,-9.955147376755509,-9.95514747675551E-7
0.02250919125000011,-9.95476261272032,-9.95476271272032E-7
0.02270268000000011,-9.954375643733638,-9.954375743733638E-7
0.02289727440000011,-9.953986463495603,-9.953986563495604E-7
0.02309297760000011,-9.953595065706356,-9.953595165706354E-7
0.023289792750000114,-9.953201444066028,-9.95320154406603E-7
0.023487723000000113,-9.95280559227477,-9.95280569227477E-7
0.023686771500000113,-9.952407504032712,-9.952407604032714E-7
0.023886941400000115,-9.952007173039991,-9.95200727303999E-7
0.024088235850000115,-9.951604592996754,-9.951604692996755E-7
0.024290658000000118,-9.951199757603133,-9.951199857603133E-7
0.024494211000000116,-9.950792660559268,-9.950792760559268E-7
0.02469889800000012,-9.950383295565297,-9.950383395565297E-7
0.02490472215000012,-9.949971656321361,-9.949971756321363E-7
0.02511168660000012,-9.949557736527595,-9.949557836527594E-7
0.02531979450000012,-9.949141529884143,-9.949141629884143E-7
0.02552904900000012,-9.94872303009114,-9.948723130091137E-7
0.02573945325000012,-9.94830223084872,-9.94830233084872E-7
0.025951010400000123,-9.947879125857032,-9.947879225857032E-7
0.026163723600000122,-9.947453708816207,-9.947453808816205E-7
0.026377596000000125,-9.947025973426385,-9.947026073426384E-7
0.026592630750000124,-9.946595913387704,-9.946596013387705E-7
0.026808831000000123,-9.946163522400306,-9.946163622400307E-7
0.027026199900000127,-9.945728794164328,-9.945728894164327E-7
0.02724474060000013,-9.945291722379906,-9.945291822379908E-7
0.027464456250000133,-9.944852300747185,-9.944852400747183E-7
0.027685350000000133,-9.944410522966294,-9.944410622966295E-7
0.02790742500000013,-9.94396638273738,-9.94396648273738E-7
0.028130684400000133,-9.943519873760575,-9.943519973760576E-7
0.02835513135000014,-9.943070989736025,-9.943071089736027E-7
0.02858076900000014,-9.942619724363865,-9.942619824363864E-7
0.02880760050000014,-9.94216607134423,-9.94216617134423E-7
0.02903562900000014,-9.941710024377262,-9.941710124377261E-7
0.029264857650000142,-9.941251577163102,-9.941251677163104E-7
0.029495289600000144,-9.940790723401886,-9.940790823401884E-7
0.02972692800000015,-9.94032745679375,-9.94032755679375E-7
0.029959776000000146,-9.939861771038837,-9.939861871038838E-7
0.030193836750000147,-9.939393659837284,-9.939393759837283E-7
0.03042911340000015,-9.938923116889228,-9.938923216889227E-7
0.030665609100000154,-9.938450135894811,-9.93845023589481E-7
0.030903327000000154,-9.937974710554167,-9.937974810554167E-7
0.031142270250000156,-9.93749683456744,-9.937496934567442E-7
0.031382442000000156,-9.937016501634764,-9.937016601634763E-7
0.031623845400000156,-9.936533705456279,-9.936533805456281E-7
0.03186648360000016,-9.936048439732126,-9.936048539732127E-7
0.032110359750000164,-9.93556069816244,-9.93556079816244E-7
0.03235547700000016,-9.935070474447363,-9.935070574447363E-7
0.03260183850000016,-9.93457776228703,-9.934577862287032E-7
0.03284944740000016,-9.93408255538158,-9.93408265538158E-7
0.03309830685000017,-9.933584847431156,-9.933584947431156E-7
0.03334842000000017,-9.933084632135895,-9.933084732135895E-7
0.03359979000000017,-9.93258190319593,-9.93258200319593E-7
0.033852420000000175,-9.932076654311404,-9.932076754311405E-7
0.03410631315000017,-9.931568879182459,-9.931568979182459E-7
0.03436147260000017,-9.931058571509226,-9.931058671509227E-7
0.03461790150000017,-9.930545724991848,-9.93054582499185E-7
0.03487560300000017,-9.930030333330468,-9.930030433330468E-7
0.03513458025000017,-9.929512390225215,-9.929512490225215E-7
0.03539483640000017,-9.928991889376233,-9.928991989376232E-7
0.03565637460000017,-9.92846882448366,-9.92846892448366E-7
0.03591919800000017,-9.927943189247635,-9.927943289247635E-7
