.HEADER
..NAMES
Time,u1/v,u2/i
..UNITS
s,Voltage(V),Current(A)
..DATATYPES
double,double,double
..WAVEFORM_TYPES
-,analog,analog
..AXIS_SPACING
linear
.DATA
1.3759200000000064E-4,-1.1049827876050362,-0.04043064558361347
1.4414400000000067E-4,-1.1049822105829417,-0.040430588642804806
1.509007500000007E-4,-1.1049816155288688,-0.04043052992259605
1.5786540000000074E-4,-1.1049810021653719,-0.04043046939561195
1.6504110000000076E-4,-1.1049803702150574,-0.040430407034477006
1.7243100000000083E-4,-1.1049797194004802,-0.04043034281181601
1.8003825000000086E-4,-1.1049790494442453,-0.040430276700253426
1.878660000000009E-4,-1.1049783600689072,-0.040430208672414064
1.9591740000000094E-4,-1.104977650997071,-0.040430138700922415
2.0419560000000097E-4,-1.1049769219512897,-0.04043006675840322
2.1270375000000103E-4,-1.1049761726541685,-0.04042999281748106
2.214450000000011E-4,-1.1049754028282597,-0.040429916850780644
2.3042250000000116E-4,-1.1049746121961674,-0.04042983883092651
2.396394000000012E-4,-1.104973800480444,-0.040429758730543434
2.490988500000012E-4,-1.1049729674036923,-0.04042967652225594
2.588040000000013E-4,-1.1049721126884644,-0.0404295921786888
2.687580000000014E-4,-1.1049712360573627,-0.04042950567246653
2.789640000000014E-4,-1.1049703372329378,-0.04042941697621392
2.894251500000015E-4,-1.1049694159377919,-0.0404293260625555
3.001446000000016E-4,-1.104968471894475,-0.040429232904116014
3.111255000000017E-4,-1.1049675048255883,-0.04042913747352005
3.223710000000017E-4,-1.1049665144536809,-0.04042903974339236
3.3388425000000177E-4,-1.1049655005013532,-0.04042893968635748
3.4566840000000186E-4,-1.1049644626911541,-0.04042883727504021
3.5772660000000194E-4,-1.1049634007456828,-0.04042873248206507
3.70062000000002E-4,-1.1049623143874872,-0.040428625280056876
3.8267775000000204E-4,-1.1049612033391656,-0.040428515641640156
3.955770000000021E-4,-1.104960067323265,-0.040428403539439696
4.087629000000022E-4,-1.1049589060623832,-0.04042828894608008
4.222386000000023E-4,-1.1049577192790656,-0.04042817183418606
4.3600725000000234E-4,-1.10495650669591,-0.04042805217638223
4.500720000000024E-4,-1.1049552680354602,-0.040427929945293366
4.644360000000025E-4,-1.1049540030203124,-0.04042780511354404
4.7910240000000254E-4,-1.1049527113730109,-0.04042767765375904
4.940743500000027E-4,-1.1049513928161498,-0.04042754753856296
5.093550000000027E-4,-1.1049500470722724,-0.04042741474058058
5.249475000000028E-4,-1.104948673863972,-0.04042727923243648
5.40855000000003E-4,-1.1049472729137906,-0.04042714098675549
5.570806500000031E-4,-1.104945843944321,-0.040426999976162184
5.736276000000032E-4,-1.104944386678103,-0.04042685617328136
5.904990000000033E-4,-1.1049429008377287,-0.040426709550737606
6.076980000000034E-4,-1.1049413861457371,-0.04042656008115574
6.252277500000035E-4,-1.1049398423247188,-0.04042640773716037
6.430914000000036E-4,-1.1049382690972114,-0.040426252491376304
6.612921000000038E-4,-1.1049366661858042,-0.040426094316428164
6.798330000000039E-4,-1.1049350333130339,-0.04042593318494076
6.987172500000041E-4,-1.104933370201488,-0.040425769069538695
7.179480000000042E-4,-1.1049316765737023,-0.040425601942846806
7.375284000000042E-4,-1.1049299521522629,-0.04042543177748971
7.574616000000043E-4,-1.1049281966597042,-0.04042525854609226
7.777507500000045E-4,-1.1049264098186105,-0.04042508222127904
7.983990000000045E-4,-1.1049245913515149,-0.040424902775674926
8.194095000000047E-4,-1.1049227409810007,-0.04042472018190455
8.407854000000048E-4,-1.1049208584295989,-0.04042453441259273
8.625298500000051E-4,-1.1049189434198916,-0.040424345440364134
8.846460000000052E-4,-1.1049169956744087,-0.04042415323784361
9.071370000000053E-4,-1.1049150149157299,-0.04042395777765577
9.300060000000055E-4,-1.1049130008663837,-0.04042375903242552
9.532561500000056E-4,-1.1049109532489485,-0.0404235569747775
9.768906000000058E-4,-1.104908871785951,-0.040423351577336585
0.0010009125000000059,-1.1049067561999681,-0.040423142812727415
0.001025325000000006,-1.1049046062135248,-0.04042293065357489
0.001050131250000006,-1.1049024215491958,-0.040422715072503654
0.0010753344000000063,-1.1049002019295044,-0.04042249604213863
0.0011009376000000065,-1.104897947077024,-0.040422273535104435
0.0011269440000000067,-1.1048956567142758,-0.040422047524026034
0.0011533567500000069,-1.1048933305638313,-0.04042181798152804
0.001180179000000007,-1.1048909683482102,-0.0404215848802354
0.001207413900000007,-1.104888569789982,-0.040421348192772814
0.0012350646000000075,-1.1048861346116636,-0.04042110789176517
0.0012631342500000076,-1.1048836625358236,-0.040420863949837176
0.0012916260000000077,-1.1048811532849765,-0.04042061633961374
0.001320543000000008,-1.1048786065816885,-0.0404203650337196
0.0013498884000000082,-1.1048760221484732,-0.040420110004779665
0.0013796653500000083,-1.1048733997078934,-0.040419851225418656
0.0014098770000000084,-1.1048707389824612,-0.040419588668261536
0.0014405265000000088,-1.1048680396947377,-0.04041932230593301
0.001471617000000009,-1.1048653015672318,-0.040419052111058035
0.001503151650000009,-1.104862524322503,-0.040418778056261345
0.0015351336000000093,-1.104859707683058,-0.04041850011416792
0.0015675660000000094,-1.1048568513714536,-0.04041821825740248
0.0016004520000000096,-1.1048539551101948,-0.04041793245859002
0.0016337947500000098,-1.1048510186218359,-0.0404176426903553
0.00166759740000001,-1.1048480416288788,-0.04041734892532327
0.0017018631000000103,-1.1048450238538765,-0.04041705113611875
0.0017365950000000103,-1.104841965019328,-0.04041674929536669
0.0017717962500000107,-1.1048388648477832,-0.040416443375691884
0.0018074700000000109,-1.1048357230617396,-0.040416133349719364
0.0018436194000000109,-1.104832539383744,-0.040415819190073886
0.001880247600000011,-1.1048293135362914,-0.040415500869380484
0.0019173577500000113,-1.1048260452419263,-0.04041517836026398
0.0019549530000000114,-1.1048227342231405,-0.04041485163534936
0.0019930365000000116,-1.1048193802024762,-0.040414520667261464
0.002031611400000012,-1.1048159829024224,-0.040414185428625356
0.0020706808500000123,-1.1048125420455186,-0.04041384589206582
0.002110248000000012,-1.1048090573542513,-0.04041350203020795
0.0021503160000000128,-1.1048055285511564,-0.04041315381567657
0.0021908880000000132,-1.104801955358718,-0.04041280122109674
0.0022319671500000133,-1.1047983374994694,-0.04041244421909333
0.0022735566000000136,-1.1047946746958914,-0.0404120827822914
0.002315659500000014,-1.1047909666705142,-0.04041171688331583
0.0023582790000000148,-1.1047872131458163,-0.04041134649479175
0.0024014182500000153,-1.1047834138443242,-0.04041097158934397
0.0024450804000000154,-1.1047795684885133,-0.040410592139597676
0.0024892686000000156,-1.1047756768009074,-0.04041020811817769
0.002533986000000016,-1.1047717385039786,-0.0404098194977092
0.0025792357500000166,-1.1047677533202473,-0.04040942625081706
0.002625021000000017,-1.1047637209721823,-0.04040902835012645
0.002671344900000017,-1.1047596411823015,-0.04040862576826228
0.0027182106000000175,-1.1047555136730696,-0.04040821847784969
0.002765621250000018,-1.104751338167001,-0.04040780645151362
0.002813580000000018,-1.104747114386558,-0.04040738966187929
0.002862090000000019,-1.1047428420542509,-0.04040696808157158
0.0029111544000000192,-1.1047385208925387,-0.04040654168321574
0.0029607763500000195,-1.104734150623928,-0.0404061104394367
0.0030109590000000196,-1.1047297309708741,-0.04040567432285967
0.00306170550000002,-1.104725261655881,-0.040405233306109636
0.0031130190000000207,-1.1047207424013992,-0.04040478736181182
0.003164902650000021,-1.1047161729299295,-0.040404336462591235
0.0032173596000000214,-1.1047115529639189,-0.04040388058107309
0.0032703930000000216,-1.1047068822258643,-0.040403419689882446
0.003324006000000022,-1.1047021604382086,-0.04040295376164451
0.0033782017500000225,-1.1046973873234454,-0.040402482768984345
0.003432983400000023,-1.1046925626040134,-0.04040200668452721
0.003488354100000023,-1.1046876860024024,-0.040401525480898176
0.0035443170000000234,-1.1046827572410474,-0.040401039130722516
0.003600875250000024,-1.1046777760424331,-0.04040054760662531
0.0036580320000000246,-1.1046727421289915,-0.04040005088123186
0.003715790400000025,-1.1046676552232035,-0.04039954892716727
0.0037741536000000255,-1.104662515047496,-0.040399041717056834
0.003833124750000026,-1.104657321324346,-0.040398529223525693
0.0038927070000000265,-1.104652073776177,-0.040398011419199194
0.003952903500000026,-1.1046467721254607,-0.04039748827670245
0.004013717400000027,-1.1046414160946165,-0.04039695976866084
0.004075151850000028,-1.1046360054061122,-0.04039642586769949
0.004137210000000028,-1.1046305397823621,-0.04039588654644381
0.004199895000000028,-1.1046250189458302,-0.04039534177751896
0.0042632100000000285,-1.1046194426189264,-0.04039479153355034
0.004327158150000028,-1.1046138105241095,-0.04039423578716314
0.0043917426000000285,-1.1046081223837851,-0.040393674510982795
0.004456966500000029,-1.1046023779204077,-0.040393107677634515
0.00452283300000003,-1.1045965768563777,-0.04039253525974374
0.004589345250000031,-1.1045907189141453,-0.040391957229935695
0.004656506400000032,-1.1045848038161061,-0.04039137356083587
0.004724319600000032,-1.1045788312847054,-0.040390784225069525
0.004792788000000032,-1.1045728010423337,-0.04039018919526212
0.004861914750000033,-1.1045667128114314,-0.04038958844403895
0.004931703000000034,-1.1045605663143847,-0.04038898194402552
0.005002155900000034,-1.1045543612736284,-0.040388369667847146
0.005073276600000035,-1.104548097411544,-0.04038775158812935
0.005145068250000035,-1.1045417744505606,-0.04038712767749745
0.005217534000000036,-1.104535392113055,-0.040386497908577026
0.005290677000000037,-1.1045289501214512,-0.040385862253993404
0.005364500400000037,-1.1045224481981206,-0.040385220686372174
0.005439007350000037,-1.1045158860654818,-0.040384573178338705
0.005514201000000038,-1.104509263445901,-0.04038391970251862
0.005590084500000038,-1.1045025800617918,-0.040383260231537314
0.00566666100000004,-1.104495835635514,-0.04038259473802039
0.00574393365000004,-1.104489029889476,-0.04038192319459329
0.00582190560000004,-1.1044821625460324,-0.040381245573881674
0.005900580000000041,-1.1044752333275862,-0.040380561848510965
0.005979960000000041,-1.104468241956486,-0.04037987199110689
0.006060048750000042,-1.104461188155129,-0.04037917597429487
0.006140849400000043,-1.104454071645858,-0.040378473770700654
0.006222365100000043,-1.1044468921510644,-0.040377765352949714
0.0063045990000000435,-1.1044396493930857,-0.040377050693667794
0.006387554250000044,-1.1044323430943068,-0.04037632976548042
0.006471234000000045,-1.1044249729770594,-0.04037560254101337
0.006555641400000045,-1.1044175387637227,-0.04037486899289217
0.006640779600000046,-1.1044100401766217,-0.04037412909374263
0.006726651750000046,-1.1044024769381298,-0.040373382816190316
0.006813261000000047,-1.1043948487705662,-0.04037263013286107
0.006900610500000048,-1.1043871553962974,-0.040371871016380456
0.0069887034000000485,-1.1043793965376365,-0.04037110543937439
0.0070775428500000495,-1.104371571916944,-0.04037033337446844
0.00716713200000005,-1.1043636812565265,-0.04036955479428852
0.007257474000000051,-1.104355724278738,-0.040368769671460296
0.0073485720000000514,-1.1043477007058782,-0.04036797797860965
0.0074404291500000524,-1.1043396102602947,-0.0403671796883623
0.007533048600000053,-1.1043314526642811,-0.04036637477334416
0.007626433500000054,-1.1043232276401784,-0.040365563206181
0.007720587000000055,-1.1043149349102725,-0.04036474495949876
0.007815512250000056,-1.1043065741968985,-0.0403639200059232
0.007911212400000056,-1.1042981452223353,-0.0403630883180803
0.008007690600000056,-1.1042896477089106,-0.040362249868595865
0.008104950000000057,-1.1042810813788966,-0.04036140463009592
0.008202993750000059,-1.104272445954614,-0.04036055257520629
0.00830182500000006,-1.1042637411583287,-0.04035969367655305
0.00840144690000006,-1.1042549667123533,-0.04035882790676203
0.008501862600000062,-1.1042461223389466,-0.040357955238459337
0.008603075250000062,-1.1042372077604146,-0.040357075644270844
0.008705088000000062,-1.104228222699008,-0.040356189096822696
0.008807904000000063,-1.104219166877026,-0.040355295568740804
0.008911526400000062,-1.1042100400167116,-0.040354395032651307
0.009015958350000063,-1.1042008418403564,-0.0403534874611802
0.009121203000000064,-1.1041915720701965,-0.04035257282695365
0.009227263500000063,-1.1041822304285156,-0.04035165110259766
0.009334143000000064,-1.1041728166375415,-0.04035072226073845
0.009441844650000064,-1.1041633304195508,-0.040349786274002035
0.009550371600000065,-1.104153771496764,-0.04034884311501471
0.009659727000000066,-1.1041441395914489,-0.0403478927564025
0.009769914000000065,-1.1041344344258184,-0.040346935170791735
0.009880935750000066,-1.1041246557221327,-0.04034597033080849
0.009992795400000067,-1.104114803202596,-0.04034499820907911
0.010105496100000068,-1.1041048765894612,-0.04034401877822972
0.010219041000000068,-1.1040948756049243,-0.0403430320108867
0.010333433250000067,-1.1040847999712289,-0.04034203787967623
0.010448676000000068,-1.104074649410564,-0.04034103635722471
0.010564772400000068,-1.1040644236451642,-0.04034002741615835
0.01068172560000007,-1.10405412239721,-0.04033901102910359
0.01079953875000007,-1.1040437453889285,-0.040337987168686695
0.01091821500000007,-1.1040332923424907,-0.04033695580753414
0.01103775750000007,-1.104022762980115,-0.0403359169182722
0.01115816940000007,-1.1040121570239643,-0.040334870473527434
0.01127945385000007,-1.1040014741962483,-0.04033381644592615
0.011401614000000072,-1.103990714219121,-0.0403327548080949
0.011524653000000072,-1.1039798768147833,-0.040331685532660075
0.011648574000000071,-1.1039689617053798,-0.04033060859224827
0.011773380150000071,-1.103957968613103,-0.0403295239594859
0.011899074600000073,-1.1039468972600883,-0.040328431606999594
0.012025660500000073,-1.1039357473685187,-0.04032733150741582
0.012153141000000074,-1.1039245186605213,-0.04032622363336126
0.012281519250000074,-1.1039132108582694,-0.04032510795746242
0.012410798400000074,-1.1039018236838805,-0.040323984452346
0.012540981600000075,-1.1038903568595184,-0.04032285309063855
0.012672072000000076,-1.1038788101072918,-0.04032171384496685
0.012804072750000076,-1.103867183149355,-0.04032056668795747
0.012936987000000075,-1.1038554757078063,-0.040319411592237245
0.013070817900000076,-1.1038436875047912,-0.04031824853043277
0.013205568600000077,-1.1038318182623978,-0.040317077475170916
