Time (s),Channel 1 (V),Channel 2 (V)
-0.005130526315789474,-0.07336695249074617,-0.8315771830411182
-0.005110526315789474,-0.06407382170308216,-0.7321124867701867
-0.005090526315789474,-0.05378499833102533,-0.6202981470025259
-0.005070526315789474,-0.04250048237457557,-0.4994719052237367
-0.005050526315789474,-0.03088406888999523,-0.369967535582386
-0.005030526315789474,-0.01860386034915317,-0.2374591986039936
-0.005010526315789474,-0.0063236518083111,-0.1019468942885596
-0.004990526315789474,0.005956556732530966,0.03656937736391608
-0.004970526315789474,0.01823676527337303,0.1730830041250306
-0.004950526315789474,0.0305169738142151,0.3059251152519832
-0.004930526315789474,0.04213338729879543,0.4337606141505331
-0.004910526315789474,0.0534179032552449,0.5582583715634811
-0.004890526315789474,0.0633748290991709,0.6694051630340218
-0.004870526315789474,0.07333175494309691,0.7748777939790394
-0.004850526315789474,0.08063350056197616,0.8593226535647678
-0.004830526315789473,0.0876033486527243,0.9367582560307295
-0.004810526315789473,0.09258181157468727,0.9941674095830804
-0.004790526315789474,0.09590078685599573,1.03488785570742
-0.004770526315789474,0.09855596708104269,1.064259980780717
-0.004750526315789474,0.09888786460917362,1.070601689603361
-0.004730526315789474,0.09789217202478104,1.061589787592236
-0.004710526315789474,0.09556888932786496,1.034554081558861
-0.004690526315789474,0.09125422146216371,0.9904958939489172
-0.004670526315789474,0.08561196348393897,0.9314178696537649
-0.004650526315789474,0.0793059104494525,0.8599902018618859
-0.004630526315789474,0.07100847224618083,0.7692036334535163
-0.004610526315789474,0.06204723898664743,0.6727429045196236
-0.004590526315789474,0.0514265180864597,0.5602610164548422
-0.004570526315789474,0.04080579718627197,0.4424387420130978
-0.004550526315789474,0.02885748617356077,0.3102641791832656
-0.004530526315789474,0.01690917516084922,0.1797584870962305
-0.004510526315789474,0.004628966620007142,0.04491373107791662
-0.004490526315789473,-0.007983139448965813,-0.09593895961448035
-0.004470526315789474,-0.02125904057419972,-0.2374591986039896
-0.004450526315789474,-0.0328754540587801,-0.3696337614338221
-0.004430526315789474,-0.04449186754336044,-0.4971354861838119
-0.004410526315789474,-0.05544448597167937,-0.6196305987054024
-0.004390526315789474,-0.06606520687186711,-0.7311111643245033
-0.004370526315789474,-0.0750264401314005,-0.8315771830411182
-0.004350526315789474,-0.08266008327841043,-0.9193597841124461
-0.004330526315789474,-0.08962993136915863,-0.9964616124298482
-0.004310526315789474,-0.09460839429112164,-1.05487208842788
-0.004290526315789474,-0.09825926710056117,-1.095592534552222
-0.004270526315789474,-0.1005825497974772,-1.121626918139917
-0.004250526315789474,-0.101246344853739,-1.133642787488083
-0.004230526315789474,-0.1005825497974772,-1.123963337179838
-0.004210526315789474,-0.0979273695724303,-1.098262727740704
-0.004190526315789474,-0.09361270170672888,-1.052201895239397
-0.004170526315789473,-0.08830234125663497,-0.9941251933899249
-0.004150526315789473,-0.08166439069401761,-0.921696203152365
-0.004130526315789474,-0.07369885001887726,-0.8369175694180835
-0.004110526315789474,-0.06407382170308218,-0.7337813575129877
-0.004090526315789474,-0.05378499833102533,-0.622300791893887
-0.004070526315789474,-0.0431642774308373,-0.5041447433035793
-0.004050526315789474,-0.0312159664181261,-0.3716364063251869
-0.004030526315789474,-0.0192676554054149,-0.2424658108323964
-0.004010526315789474,-0.0063236518083111,-0.1032819908828003
-0.003990526315789474,0.005956556732530966,0.03456673247255498
-0.003970526315789474,0.01890056032963477,0.1770882939077528
-0.003950526315789474,0.03118076887047683,0.3115992757775063
-0.003930526315789474,0.0424652848269263,0.4374321297846951
-0.003910526315789474,0.05308600572711403,0.5582583715634811
-0.003890526315789474,0.0633748290991709,0.6670687439941005
-0.003870526315789474,0.0723360623587043,0.7698711817506367
-0.003850526315789474,0.08030160303384511,0.8566524603762841
-0.003830526315789474,0.08693955359646244,0.9327529662480056
-0.003810526315789474,0.09191801651842543,0.9911634422460376
-0.003790526315789474,0.0962326843841267,1.034887855707421
-0.003770526315789474,0.09822406955291191,1.059587142700875
-0.003750526315789474,0.09855596708104276,1.066930173969199
-0.003730526315789474,0.09756027449665017,1.059253368552315
-0.003710526315789474,0.09556888932786496,1.034554081558861
-0.003690526315789474,0.09125422146216371,0.9911634422460376
-0.003670526315789474,0.0862757585402007,0.9360907077336075
-0.003650526315789474,0.0793059104494525,0.8596564277133257
-0.003630526315789474,0.0713403697743117,0.7725413749391181
-0.003610526315789474,0.06171534145851656,0.6707402596282626
-0.003590526315789474,0.0514265180864597,0.5575908232663608
-0.003570526315789474,0.0404738996581411,0.4377659039332553
-0.003550526315789474,0.02885748617356077,0.3099304050347054
-0.003530526315789474,0.0165772776327187,0.1777558422048732
-0.003510526315789474,0.003965171563745767,0.04024089299807808
-0.003490526315789474,-0.008315036977096301,-0.09593895961447632
-0.003470526315789474,-0.02159093810233097,-0.2374591986039936
-0.003450526315789474,-0.03287545405878044,-0.3672973423939045
-0.003430526315789474,-0.04449186754336077,-0.4951328412924544
-0.003410526315789474,-0.0551125884435485,-0.6169604055169209
-0.003390526315789474,-0.06573330934373624,-0.7261045520961006
-0.003370526315789474,-0.07469454260326963,-0.8299083122983173
-0.003350526315789474,-0.08232818575027957,-0.9163558167754045
