Time (s),Channel 1 (V),Channel 2 (V)
-0.005135135135135136,-0.07569023518766224,-0.0004795531262641653
-0.005115135135135136,-0.06639710439999823,-0.0004795531262641653
-0.005095135135135135,-0.05644017855607225,-0.0001457789777039924
-0.005075135135135135,-0.04548756012775337,-0.0001457789777039829
-0.005055135135135135,-0.0342030441713039,0.0005217693194163817
-0.005035135135135135,-0.02192283563046183,0.0005217693194163817
-0.005015135135135135,-0.009642627089619767,0.000855543467976564
-0.004995135135135135,0.002969478979353166,0.001189317616536746
-0.004975135135135135,0.01491778999206437,0.08096133912242032
-0.004955135135135135,0.0275298960610373,0.2732152486930854
-0.004935135135135135,0.0394782070737485,0.4050560373743574
-0.004915135135135135,0.05076272303019796,0.528886246490185
-0.004895135135135135,0.0613834439303857,0.6470422950804896
-0.004875135135135135,0.0703446771899191,0.7495109586884656
-0.004855135135135135,0.07897401292132183,0.8402975270968372
-0.004835135135135135,0.08561196348393914,0.9163980329685585
-0.004815135135135135,0.09125422146216382,0.9794813470464325
-0.004795135135135136,0.09523699179973399,1.024874631250615
-0.004775135135135136,0.09789217202478097,1.055581852918152
-0.004755135135135135,0.09921976213730446,1.068265270563439
-0.004735135135135135,0.09855596708104276,1.065261303226398
-0.004715135135135135,0.09656458191225757,1.046236176758468
-0.004695135135135135,0.09291370910281803,1.008185923822607
-0.004675135135135135,0.08760334865272416,0.9514443185673759
-0.004655135135135135,0.0812972956182377,0.8826868439639783
-0.004635135135135135,0.07366365247122776,0.8012459517152938
-0.004615135135135135,0.06503431673982524,0.7041176744842808
-0.004595135135135135,0.05474549336776837,0.5939722054594206
-0.004575135135135135,0.04379287493944977,0.4734797378291948
-0.004555135135135135,0.03217646145486944,0.3483144321191264
-0.004535135135135135,0.01956435538589615,0.209798160466647
-0.004515135135135135,0.007284146845054075,0.07829114593393678
-0.004495135135135135,-0.005327959223918858,0.005194607399258811
-0.004475135135135136,-0.01794006529289108,0.0008555434679766872
-0.004455135135135136,-0.03022027383373315,0.000855543467976564
-0.004435135135135135,-0.0418366873183135,0.0005217693194163912
-0.004415135135135135,-0.05245740821850157,-0.0001457789777039829
-0.004395135135135135,-0.06307812911868931,-0.0001457789777039829
-0.004375135135135135,-0.07270315743448444,-0.0004795531262641653
-0.004355135135135135,-0.08100059563775611,-0.0001457789777039829
-0.004335135135135135,-0.08763854620037344,-0.0004795531262641653
-0.004315135135135135,-0.09361270170672903,-0.0001457789777039829
-0.004295135135135135,-0.09759547204429944,-0.0001457789777039829
-0.004275135135135135,-0.0999187547412155,-0.0001457789777039829
-0.004255135135135135,-0.1009144473256081,-0.0004795531262641653
-0.004235135135135135,-0.1002506522693464,-0.0004795531262641653
-0.004215135135135135,-0.09825926710056117,-0.0001457789777039829
-0.004195135135135135,-0.09494029181925234,-0.0001457789777039829
-0.004175135135135135,-0.08962993136915844,-0.0001457789777039829
-0.004155135135135135,-0.08299198080654108,-0.0001457789777039829
-0.004135135135135136,-0.07535833765953159,-0.0001457789777039829
-0.004115135135135136,-0.06672900192812908,-0.0001457789777039829
-0.004095135135135135,-0.05610828102794141,-0.0001457789777039829
-0.004075135135135135,-0.0451556625996225,-0.0001457789777039829
-0.004055135135135135,-0.03387114664317303,0.0005217693194163817
-0.004035135135135135,-0.0222547331585927,0.000855543467976564
-0.004015135135135135,-0.009642627089619767,0.000855543467976564
-0.003995135135135135,0.003301376507484033,0.001189317616536746
-0.003975135135135135,0.0155815850483261,0.08663549964794343
-0.003955135135135135,0.0285255886454299,0.2822271507042103
-0.003935135135135135,0.03981010460187936,0.408060004711399
-0.003915135135135135,0.05076272303019796,0.530555117232986
-0.003895135135135135,0.0613834439303857,0.6450396501891285
-0.003875135135135135,0.07067657471804997,0.7458394430543036
-0.003855135135135135,0.07897401292132164,0.8396299787997148
