Time (s),Channel 1 (V),Channel 2 (V)
-0.00252567,-0.05536809576784107,-0.840102923285454
-0.00252504,-0.05569996841663524,-0.8447751120476809
-0.00252441,-0.05536809576784107,-0.8147396128619371
-0.00252378,-0.05503622311904691,-0.8057289631062122
-0.00252315,-0.05503622311904691,-0.8017242298814481
-0.00252252,-0.05569996841663524,-0.7903774857446116
-0.00252189,-0.05603184106542924,-0.8574567672594088
-0.00252126,-0.05669558636301772,-0.8204129849303553
-0.00252063,-0.05702745901181188,-0.8858236276015305
-0.00252,-0.0576912043094002,-0.8287561791486175
-0.00251937,-0.05835494960698852,-0.7670165419334776
-0.00251874,-0.05735933166060633,-0.7877076635947586
-0.00251811,-0.05802307695819436,-0.7676839974709386
-0.00251748,-0.05802307695819436,-0.8184106183179725
-0.00251685,-0.05868682225578238,-0.7917123968195456
-0.00251622,-0.05901869490457684,-0.8007230465752567
-0.00251559,-0.05868682225578268,-0.8444413842789503
-0.00251496,-0.05868682225578268,-0.826086356998782
-0.00251433,-0.05968244020216516,-0.7980532244254128
-0.0025137,-0.06034618549975363,-0.8557881284158069
-0.00251307,-0.06067805814854764,-0.899840193888211
-0.00251244,-0.0610099307973418,-0.8804839833018429
-0.00251181,-0.06134180344613581,-0.8631301393278654
-0.00251118,-0.0610099307973418,-0.841437834360376
-0.00251055,-0.0610099307973418,-0.9105194824875865
-0.00250992,-0.0610099307973418,-0.8768129778458228
-0.00250929,-0.06200554874372428,-0.8651325059402405
-0.00250866,-0.06300116669010677,-0.796050857813039
-0.00250803,-0.06300116669010677,-0.8160745239368591
-0.0025074,-0.06300116669010677,-0.8314260012984613
-0.00250677,-0.06266929404131276,-0.7766946472266866
-0.00250614,-0.06233742139251845,-0.779698197145236
-0.00250551,-0.06266929404131261,-0.793381035663186
-0.00250488,-0.06333303933890061,-0.7446567814285573
-0.00250425,-0.06333303933890091,-0.7356461316728119
-0.00250362,-0.06399678463648925,-0.719960926542473
-0.00250299,-0.06399678463648925,-0.7066118157932596
-0.00250236,-0.06399678463648925,-0.697267438268806
-0.00250173,-0.06432865728528354,-0.6852532385945052
-0.0025011,-0.06466052993407756,-0.6775774999137074
-0.00250047,-0.06499240258287173,-0.7136200989365998
-0.00249984,-0.06466052993407771,-0.7249668430734313
-0.00249921,-0.0653242752316659,-0.6845857830570475
-0.00249858,-0.06565614788046004,-0.6478757284966934
-0.00249795,-0.06565614788046004,-0.6462070896530417
-0.00249732,-0.06631989317804837,-0.6415349008908149
-0.00249669,-0.06665176582684254,-0.6568863782524135
-0.00249606,-0.06665176582684254,-0.6485431840341551
-0.00249543,-0.06665176582684254,-0.6996035326499195
-0.0024948,-0.06698363847563653,-0.6508792784152907
-0.00249417,-0.06731551112443085,-0.638865078740971
-0.00249354,-0.06731551112443085,-0.657220106021154
-0.00249291,-0.06731551112443085,-0.6709029445390977
-0.00249228,-0.06831112907081333,-0.6992698048811889
-0.00249165,-0.06897487436840136,-0.6468745451905218
-0.00249102,-0.06831112907081333,-0.6889242440505439
-0.00249039,-0.0693067470171958,-0.7112840045554865
-0.00248976,-0.06897487436840181,-0.7416532315099469
-0.00248913,-0.06963861966598997,-0.7369810427477339
-0.0024885,-0.06997049231478414,-0.6722378556140196
-0.00248787,-0.07063423761237245,-0.662893478089566
-0.00248724,-0.07096611026116662,-0.6678993946205233
-0.00248661,-0.07096611026116677,-0.6895916995879863
-0.00248598,-0.07129798290996078,-0.6485431840341551
-0.00248535,-0.07030236496357828,-0.589473368968859
-0.00248472,-0.07096611026116631,-0.6165053182360162
-0.00248409,-0.07096611026116662,-0.6208437792295248
-0.00248346,-0.07096611026116662,-0.6762425888387854
-0.00248283,-0.07162985555875492,-0.6919277939691183
-0.0024822,-0.0726254735051374,-0.7222970209235925
-0.00248157,-0.0726254735051374,-0.7079467268681863
-0.00248094,-0.0726254735051374,-0.7182922876988267
-0.00248031,-0.07328921880272574,-0.7059443602557987
-0.00247968,-0.07328921880272574,-0.714287554474057
-0.00247905,-0.07328921880272574,-0.7199609265424791
-0.00247842,-0.07395296410031404,-0.7393171371288473
-0.00247779,-0.07428483674910806,-0.7893763024383974
-0.00247716,-0.07494858204669652,-0.7993881355003347
-0.00247653,-0.07494858204669683,-0.7947159467381104
-0.0024759,-0.07561232734428486,-0.8000555910377957
-0.00247527,-0.07561232734428486,-0.7623443531712508
-0.00247464,-0.07528045469549084,-0.7977194966566662
-0.00247401,-0.07561232734428486,-0.793381035663186
-0.00247338,-0.07594419999307903,-0.804394052031292
-0.00247275,-0.07594419999307903,-0.8467774786600444
-0.00247212,-0.07660794529066733,-0.8124035184808237
-0.00247149,-0.07693981793946165,-0.840436651054164
-0.00247086,-0.07727169058825567,-0.7953834022755689
-0.00247023,-0.0769398179394615,-0.8431064732040284
-0.0024696,-0.0769398179394615,-0.8140721573244893
-0.00246897,-0.07727169058825567,-0.8244177181551212
-0.00246834,-0.07793543588584398,-0.8584579505656308
-0.00246771,-0.07826730853463799,-0.8921644552073945
-0.00246708,-0.07793543588584398,-0.8754780667708856
-0.00246645,-0.0782673085346383,-0.8634638670966145
-0.00246582,-0.07859918118343229,-0.9215324988556926
-0.00246519,-0.07959479912981479,-0.9001739216569415
-0.00246456,-0.07959479912981464,-0.8561218561845438
-0.00246393,-0.07926292648102062,-0.9145242157123524
-0.0024633,-0.07992667177860893,-0.8878259942139135
-0.00246267,-0.08025854442740295,-0.9041786548816999
-0.00246204,-0.08059041707619727,-0.8871585386764526
-0.00246141,-0.08059041707619742,-0.8948342773572607
-0.00246078,-0.08092228972499141,-0.9101857547188561
-0.00246015,-0.08158603502257974,-0.9008413771944025
-0.00245952,-0.08125416237378588,-0.9272058709241118
-0.00245889,-0.08191790767137391,-0.9292082375364937
-0.00245826,-0.08224978032016805,-0.9168603100934658
-0.00245763,-0.08224978032016805,-0.9232011376993421
-0.002457,-0.08191790767137391,-0.935549065142373
-0.00245637,-0.08291352561775639,-0.9612461033346205
-0.00245574,-0.08258165296896222,-0.9498993591977839
