I_meter,Range_Exponent,Voltage
13,-10,0
83,-11,-0.1
60,-11,-0.2
40,-11,-0.3
24,-11,-0.4
85,-12,-0.5
10,-12,-0.6
-24,-12,-0.7
-32,-12,-0.8
-34,-12,-0.9
-34,-12,-1
-34,-12,-1.1
-34,-12,-1.2
-34,-12,-1.3
-35,-12,-1.4
-35,-12,-1.5
-35,-12,-1.6
-35,-12,-1.7
-35,-12,-1.8
-35,-12,-1.9
-35,-12,-2
