I_meter,Range_Exponent,Voltage
22,-9,0
21,-9,-0.1
19,-9,-0.2
17,-9,-0.3
15,-9,-0.4
13,-9,-0.5
11,-9,-0.6
90,-10,-0.7
76,-10,-0.8
64,-10,-0.9
51,-10,-1
40,-10,-1.1
35,-10,-1.2
21,-10,-1.3
14,-10,-1.4
65,-11,-1.5
27,-11,-1.6
43,-12,-1.7
-64,-12,-1.8
-10,-11,-1.9
-13,-11,-2
