I_meter,Range_Exponent,Voltage
13,-10,0
72,-11,-0.1
47,-11,-0.2
27,-11,-0.3
94,-12,-0.4
9,-12,-0.5
-25,-12,-0.6
-33,-12,-0.7
-32,-12,-0.8
-34,-12,-0.9
-35,-12,-1
-34,-12,-1.1
-34,-12,-1.2
-34,-12,-1.3
-35,-12,-1.4
-35,-12,-1.5
-36,-12,-1.6
-36,-12,-1.7
-36,-12,-1.8
-36,-12,-1.9
-36,-12,-2
