I_meter,Range_Exponent,Voltage
24,-10,0
22,-10,-0.1
19,-10,-0.2
17,-10,-0.3
15,-10,-0.4
13,-10,-0.5
85,-11,-0.6
68,-11,-0.7
52,-11,-0.8
38,-11,-0.9
25,-11,-1
17,-11,-1.1
59,-12,-1.2
15,-12,-1.3
-7,-12,-1.4
-19,-12,-1.5
-22,-12,-1.6
-24,-12,-1.7
-25,-12,-1.8
-26,-12,-1.9
-27,-12,-2
